student_id,course_id,total_video_views,avg_video_completion_rate,quiz_attempts,quiz_avg_score,forum_posts,forum_replies,last_login_date,total_login_hours,assignment_submissions,late_submissions
STU001,CRS001,24,0.89,8,85.5,5,12,2025-06-18,67.5,6,1
STU002,CRS002,8,0.34,2,42.0,0,1,2025-05-10,12.3,1,1
STU003,CRS001,28,0.95,9,91.2,8,15,2025-07-03,89.2,7,0
STU004,CRS003,18,0.67,5,58.3,2,4,2025-12-15,45.8,3,2
STU005,CRS002,22,0.84,7,78.9,4,8,2025-06-28,58.7,5,0
STU006,CRS004,5,0.21,1,31.0,0,0,2025-05-18,8.9,0,0
STU007,CRS001,31,0.98,10,94.7,12,18,2025-07-13,95.4,8,0
STU008,CRS005,26,0.91,8,87.4,6,11,2025-12-20,78.9,6,0
STU009,CRS003,12,0.45,3,48.7,1,2,2025-05-28,23.6,2,1
STU010,CRS002,25,0.88,8,82.1,5,9,2025-07-23,72.4,6,1
STU011,CRS006,4,0.19,1,28.5,0,0,2025-05-22,6.7,0,0
STU012,CRS004,29,0.93,9,90.8,9,14,2025-08-08,86.3,7,0
STU013,CRS001,21,0.79,6,73.2,3,7,2025-12-18,54.9,4,1
STU014,CRS007,9,0.38,2,45.3,1,1,2025-06-10,18.4,1,1
STU015,CRS005,27,0.92,9,86.7,7,13,2025-08-28,82.1,7,0
STU016,CRS003,14,0.52,4,51.9,1,3,2025-06-15,28.7,2,2
STU017,CRS008,30,0.96,10,93.4,10,16,2025-09-03,91.8,8,0
STU018,CRS002,16,0.63,4,59.8,2,5,2025-12-10,38.2,3,1
STU019,CRS006,6,0.24,1,33.2,0,1,2025-06-20,11.5,0,0
STU020,CRS004,26,0.89,8,88.3,6,10,2025-09-13,79.6,6,0
STU021,CRS009,7,0.31,2,39.7,0,1,2025-06-25,15.2,1,1
STU022,CRS001,24,0.87,8,89.1,6,11,2025-09-18,75.8,6,0
STU023,CRS007,13,0.48,3,52.4,1,2,2025-12-05,31.9,2,2
STU024,CRS005,25,0.90,8,85.9,5,9,2025-09-29,77.3,6,0
STU025,CRS010,8,0.35,2,41.8,0,1,2025-07-05,16.4,1,1
STU026,CRS003,27,0.94,9,88.6,8,12,2025-10-03,83.7,7,0
STU027,CRS008,10,0.42,3,47.1,1,2,2025-07-15,20.8,1,1
STU028,CRS002,23,0.85,7,81.7,4,8,2025-10-13,69.5,5,1
STU029,CRS011,19,0.71,5,66.3,3,6,2025-12-22,49.7,4,1
STU030,CRS006,5,0.22,1,30.4,0,0,2025-07-20,9.8,0,0
STU031,CRS004,28,0.95,9,92.5,9,15,2025-11-08,88.9,7,0
STU032,CRS009,11,0.47,3,49.2,1,2,2025-07-28,24.1,2,1
STU033,CRS001,22,0.86,7,86.8,5,10,2025-11-13,71.2,6,0
STU034,CRS012,20,0.74,6,69.7,3,7,2025-12-25,52.3,4,1
STU035,CRS007,9,0.39,2,46.5,0,1,2025-08-10,19.6,1,1
STU036,CRS005,24,0.88,8,84.2,5,9,2025-11-23,74.8,6,0
STU037,CRS010,12,0.49,3,50.6,1,3,2025-08-15,26.3,2,2
STU038,CRS003,26,0.92,8,90.1,7,13,2025-11-29,81.4,7,0
STU039,CRS011,7,0.33,2,42.9,0,1,2025-08-20,14.7,1,1
STU040,CRS008,25,0.89,8,87.6,6,11,2025-12-08,76.9,6,0
STU041,CRS002,15,0.61,4,57.3,2,4,2025-12-12,35.8,3,2
STU042,CRS012,8,0.36,2,44.1,1,1,2025-08-30,17.9,1,1
STU043,CRS006,27,0.93,9,89.4,8,14,2025-12-18,84.6,7,0
STU044,CRS004,13,0.51,3,53.2,1,2,2025-09-05,29.4,2,1
STU045,CRS009,29,0.97,10,91.8,11,17,2026-01-03,92.7,8,0
