facility_id,date,shift_type,role,scheduled_staff,actual_staff,overtime_hours,call_ins,no_shows
1,2025-01-15,Day,Physician,4,3,8,0,1
1,2025-01-15,Day,Nurse,12,11,4,1,2
1,2025-01-15,Day,Tech,6,6,0,0,0
1,2025-01-15,Evening,Physician,3,3,2,0,0
1,2025-01-15,Evening,Nurse,8,7,6,1,2
1,2025-01-15,Evening,Tech,4,4,0,0,0
1,2025-01-15,Night,Physician,2,2,0,0,0
1,2025-01-15,Night,Nurse,6,5,4,0,1
1,2025-01-15,Night,Tech,3,3,2,0,0
2,2025-01-15,Day,Physician,3,3,0,0,0
2,2025-01-15,Day,Nurse,10,9,6,1,2
2,2025-01-15,Day,Tech,5,4,0,0,1
2,2025-01-15,Evening,Physician,2,2,4,0,0
2,2025-01-15,Evening,Nurse,6,6,2,1,1
2,2025-01-15,Evening,Tech,3,3,0,0,0
2,2025-01-15,Night,Physician,2,1,0,0,1
2,2025-01-15,Night,Nurse,4,4,8,1,1
2,2025-01-15,Night,Tech,2,2,0,0,0
3,2025-01-15,Day,Physician,5,4,12,0,1
3,2025-01-15,Day,Nurse,14,12,8,2,4
3,2025-01-15,Day,Tech,7,7,0,0,0
3,2025-01-15,Evening,Physician,4,4,0,0,0
3,2025-01-15,Evening,Nurse,10,9,4,1,2
3,2025-01-15,Evening,Tech,5,5,2,0,0
3,2025-01-15,Night,Physician,3,2,0,0,1
3,2025-01-15,Night,Nurse,7,6,6,0,2
3,2025-01-15,Night,Tech,4,4,0,0,0
4,2025-01-15,Day,Physician,3,3,4,0,0
4,2025-01-15,Day,Nurse,8,7,8,1,2
4,2025-01-15,Day,Tech,4,3,0,0,1
4,2025-01-15,Evening,Physician,2,2,2,0,0
4,2025-01-15,Evening,Nurse,6,5,6,0,1
4,2025-01-15,Evening,Tech,3,3,0,0,0
4,2025-01-15,Night,Physician,2,1,0,0,1
4,2025-01-15,Night,Nurse,4,4,4,1,1
4,2025-01-15,Night,Tech,2,2,2,0,0
5,2025-01-15,Day,Physician,4,4,2,0,0
5,2025-01-15,Day,Nurse,11,10,6,1,2
5,2025-01-15,Day,Tech,6,5,0,0,1
5,2025-01-15,Evening,Physician,3,3,0,0,0
5,2025-01-15,Evening,Nurse,7,7,2,1,1
5,2025-01-15,Evening,Tech,4,4,0,0,0
5,2025-01-15,Night,Physician,2,2,0,0,0
5,2025-01-15,Night,Nurse,5,4,8,0,1
5,2025-01-15,Night,Tech,3,3,4,0,0
6,2025-01-15,Day,Physician,2,2,6,0,0
6,2025-01-15,Day,Nurse,7,6,10,1,2
6,2025-01-15,Day,Tech,3,3,0,0,0
6,2025-01-15,Evening,Physician,2,1,0,0,1
6,2025-01-15,Evening,Nurse,5,4,8,0,2
6,2025-01-15,Evening,Tech,2,2,0,0,0
6,2025-01-15,Night,Physician,1,1,0,0,0
6,2025-01-15,Night,Nurse,3,3,2,1,1
6,2025-01-15,Night,Tech,2,1,0,0,1
