ticket_id,customer_id,channel,date,subject,priority,status,agent_id,message,resolution_time_hours
TKT-2024-001,CUST-001,email,2024-03-15,Login issues with SSO integration,high,closed,AGT-012,"Hi team I'm having trouble logging in through our SSO integration. Every time I try to access the dashboard I get an authentication error. This is blocking my entire team from accessing the platform. We've been customers for 2 years and never had this issue before. Please help ASAP as we have a client presentation tomorrow.",4.5
TKT-2024-002,CUST-003,chat,2024-03-16,Slow dashboard loading times,medium,open,AGT-008,"The main dashboard is taking forever to load lately. It used to be instant but now takes 30+ seconds. My team is getting frustrated and it's impacting our daily workflows. We're on the Enterprise plan so expected better performance.",NULL
TKT-2024-003,CUST-007,phone,2024-03-17,Data export feature not working,high,in_progress,AGT-003,"Called because the CSV export function is completely broken. When I try to export our customer data it just shows a loading spinner that never completes. We need this for our monthly board reporting. This is the third month in a row we've had export issues.",12.2
TKT-2024-004,CUST-012,email,2024-03-18,Billing discrepancy,medium,closed,AGT-015,"I noticed we were charged for 50 additional users this month but we only added 35. Can someone please review our billing and adjust accordingly? We love the product but billing issues like this make us question the accuracy of your systems.",8.1
TKT-2024-005,CUST-005,chat,2024-03-19,Mobile app crashes frequently,high,open,AGT-008,"The mobile app keeps crashing whenever I try to view reports. This happens on both iOS and Android devices in our organization. It's making it impossible for our sales team to access data while they're in the field.",NULL
TKT-2024-006,CUST-018,email,2024-03-20,Integration with Salesforce failing,critical,in_progress,AGT-012,"Our Salesforce integration stopped working yesterday and it's causing major data sync issues. Customer records aren't updating and our sales team can't track leads properly. We're considering switching to a competitor if this isn't resolved quickly.",18.7
TKT-2024-007,CUST-009,phone,2024-03-21,Cannot add new team members,medium,closed,AGT-003,"Trying to add 5 new team members but the user management interface keeps giving me errors. Says something about exceeding license limits but we're well under our Enterprise plan allowance. Finally got it working after the support call.",6.3
TKT-2024-008,CUST-024,chat,2024-03-22,Custom reports showing incorrect data,high,open,AGT-015,"The custom reports I built last month are now showing completely different numbers. The calculations seem off and I can't trust the data for client presentations. This is a serious issue that's affecting our credibility with clients.",NULL
TKT-2024-009,CUST-001,email,2024-03-23,Feature request - bulk operations,low,closed,AGT-008,"Would love to see bulk edit capabilities for customer records. Currently have to edit each record individually which is very time consuming. This would be a huge productivity boost for our team. Otherwise very happy with the platform!",72.5
TKT-2024-010,CUST-031,phone,2024-03-24,API rate limits too restrictive,medium,in_progress,AGT-012,"We're hitting API rate limits during our nightly data syncs which is causing our automated workflows to fail. Can we discuss increasing our rate limits or optimizing the sync process? We're processing about 10000 records nightly.",15.1
