Month,Year,New_MRR,Expansion_MRR,Contraction_MRR,Churned_MRR,Net_New_MRR,Total_MRR,ARR,New_Customers,Churned_Customers,Net_Customers,Total_Customers,ARPU
January,2025,125000,18000,-8000,-15000,120000,850000,10200000,45,12,33,1205,705
February,2025,145000,22000,-12000,-18000,137000,920000,11040000,52,15,37,1242,740
March,2025,168000,25000,-10000,-14000,169000,1050000,12600000,58,11,47,1289,814
April,2025,185000,28000,-15000,-16000,182000,1180000,14160000,62,13,49,1338,882
May,2025,198000,32000,-18000,-22000,190000,1290000,15480000,65,18,47,1385,931
June,2025,220000,35000,-12000,-19000,224000,1420000,17040000,72,15,57,1442,985
July,2025,245000,38000,-20000,-25000,238000,1580000,18960000,78,20,58,1500,1053
August,2025,265000,42000,-16000,-28000,263000,1720000,20640000,82,22,60,1560,1103
September,2025,290000,45000,-22000,-30000,283000,1890000,22680000,88,24,64,1624,1164
October,2025,310000,48000,-18000,-32000,308000,2050000,24600000,92,25,67,1691,1212
November,2025,325000,52000,-25000,-35000,317000,2180000,26160000,96,28,68,1759,1239
December,2025,350000,55000,-20000,-38000,347000,2350000,28200000,102,30,72,1831,1283
