customer_id,segment,monthly_recurring_revenue,contract_start_date,contract_length_months,acquisition_channel,acquisition_date,churned,churn_date
CUST-001,Enterprise,24000,2024-11-01,36,Sales,2024-10-15,FALSE,
CUST-002,Mid-Market,8500,2024-11-01,24,Sales,2024-10-20,FALSE,
CUST-003,SMB,1200,2024-11-01,12,Marketing,2024-10-25,FALSE,
CUST-004,Enterprise,32000,2024-10-01,36,Partnerships,2024-09-15,FALSE,
CUST-005,Mid-Market,6200,2024-10-01,24,Marketing,2024-09-20,FALSE,
CUST-006,SMB,890,2024-10-01,12,Marketing,2024-09-22,TRUE,2025-01-15
CUST-007,Enterprise,28000,2024-09-01,36,Sales,2024-08-10,FALSE,
CUST-008,Mid-Market,7800,2024-09-01,24,Sales,2024-08-25,FALSE,
CUST-009,SMB,1400,2024-09-01,12,Marketing,2024-08-28,FALSE,
CUST-010,Enterprise,35000,2024-08-01,36,Sales,2024-07-18,FALSE,
CUST-011,Mid-Market,5900,2024-08-01,24,Partnerships,2024-07-20,FALSE,
CUST-012,SMB,1100,2024-08-01,12,Marketing,2024-07-25,TRUE,2024-12-10
CUST-013,Enterprise,29000,2024-07-01,36,Sales,2024-06-12,FALSE,
CUST-014,Mid-Market,8200,2024-07-01,24,Marketing,2024-06-18,FALSE,
CUST-015,SMB,950,2024-07-01,12,Marketing,2024-06-20,FALSE,
CUST-016,Enterprise,31000,2024-06-01,36,Partnerships,2024-05-15,FALSE,
CUST-017,Mid-Market,7100,2024-06-01,24,Sales,2024-05-20,FALSE,
CUST-018,SMB,1300,2024-06-01,12,Marketing,2024-05-22,FALSE,
CUST-019,Enterprise,26000,2024-05-01,36,Sales,2024-04-10,FALSE,
CUST-020,Mid-Market,6800,2024-05-01,24,Marketing,2024-04-15,FALSE,
CUST-021,SMB,1150,2024-05-01,12,Marketing,2024-04-18,TRUE,2024-10-20
CUST-022,Enterprise,33000,2024-04-01,36,Sales,2024-03-12,FALSE,
CUST-023,Mid-Market,7500,2024-04-01,24,Partnerships,2024-03-18,FALSE,
CUST-024,SMB,1050,2024-04-01,12,Marketing,2024-03-20,FALSE,
CUST-025,Enterprise,27000,2024-03-01,36,Sales,2024-02-14,FALSE,
CUST-026,Mid-Market,8900,2024-03-01,24,Sales,2024-02-20,FALSE,
CUST-027,SMB,1250,2024-03-01,12,Marketing,2024-02-22,FALSE,
CUST-028,Enterprise,30000,2024-02-01,36,Partnerships,2024-01-15,FALSE,
CUST-029,Mid-Market,6500,2024-02-01,24,Marketing,2024-01-18,FALSE,
CUST-030,SMB,980,2024-02-01,12,Marketing,2024-01-20,FALSE,
CUST-031,Enterprise,25000,2024-01-01,36,Sales,2023-12-10,FALSE,
CUST-032,Mid-Market,7200,2024-01-01,24,Sales,2023-12-15,FALSE,
CUST-033,SMB,1180,2024-01-01,12,Marketing,2023-12-18,TRUE,2024-08-30
CUST-034,Enterprise,34000,2023-12-01,36,Sales,2023-11-12,FALSE,
CUST-035,Mid-Market,8100,2023-12-01,24,Partnerships,2023-11-18,FALSE,
CUST-036,SMB,1080,2023-12-01,12,Marketing,2023-11-20,FALSE,
CUST-037,Enterprise,28500,2023-11-01,36,Sales,2023-10-14,FALSE,
CUST-038,Mid-Market,6900,2023-11-01,24,Marketing,2023-10-20,FALSE,
CUST-039,SMB,1320,2023-11-01,12,Marketing,2023-10-22,FALSE,
CUST-040,Enterprise,32500,2023-10-01,36,Partnerships,2023-09-15,FALSE,
