Company_ID,Employee_Count,Employee_Growth_YoY,Customer_Count,Customer_Retention_Rate,Market_Share_Est,R&D_Spend_M,Sales_Marketing_Spend_M,Management_Score,ESG_Score,Geographic_Presence
PC001,185,12.2%,342,92.5%,8.2%,3.2,6.8,8.5,7.2,North America
PC002,298,25.1%,156,89.7%,12.4%,4.7,9.2,9.1,9.5,Global
PC003,245,8.9%,89,94.3%,15.2%,8.9,7.1,8.8,8.1,North America
PC004,412,38.2%,1247,87.2%,5.8%,1.2,4.9,7.8,6.9,North America
PC005,156,22.4%,287,95.1%,9.7%,5.2,8.1,9.2,7.8,Global
PC006,189,18.7%,542,91.8%,6.4%,4.1,7.3,8.6,8.2,North America
PC007,98,-15.2%,12,88.9%,2.1%,18.2,3.4,7.2,8.8,Global
PC008,267,28.9%,178,93.7%,11.3%,6.8,8.9,8.9,7.5,Global
PC009,89,42.1%,2847,85.3%,3.2%,2.1,5.7,8.1,7.1,North America
PC010,312,15.8%,198,96.2%,14.7%,7.8,9.4,9.3,8.4,Global
PC011,134,9.8%,456,88.4%,7.9%,2.8,5.1,8.2,8.9,North America
PC012,67,31.2%,1876,89.6%,4.1%,1.8,3.7,7.9,8.3,North America
PC013,203,19.5%,167,92.8%,8.5%,4.9,7.8,8.7,8.0,North America
PC014,189,6.2%,134,91.2%,18.6%,3.4,6.2,8.4,9.2,Global
PC015,178,16.8%,298,93.5%,7.3%,3.7,6.9,8.5,7.6,North America
PC016,234,12.4%,89,89.7%,9.8%,2.1,7.8,8.1,7.8,North America
PC017,123,35.7%,342,87.9%,5.2%,2.9,6.4,8.3,7.4,North America
PC018,267,3.8%,67,92.1%,22.4%,8.9,5.7,8.6,9.1,Global
PC019,198,29.1%,456,91.6%,6.7%,4.2,7.1,8.2,7.9,North America
PC020,145,14.2%,789,88.3%,4.9%,1.9,4.8,7.8,7.2,North America
PC021,78,38.9%,3421,82.7%,2.8%,1.4,4.2,7.6,7.5,North America
PC022,289,21.3%,234,90.4%,8.9%,3.1,8.2,8.4,7.7,North America
PC023,167,15.7%,187,93.2%,11.2%,2.8,5.9,8.7,9.4,North America
