project_id,budget_category,approved_budget,actual_spend,forecast_spend,variance_amount,variance_percentage,last_updated
PRJ001,Development,25000,28500,35000,3500,14.0,2026-03-20
PRJ001,Project Management,5000,6200,8000,1200,24.0,2026-03-20
PRJ001,Additional Features,0,8900,12000,8900,100.0,2026-03-20
PRJ002,Core Development,35000,32000,42000,-3000,-8.6,2026-03-18
PRJ002,Integration Work,8000,15000,18000,7000,87.5,2026-03-18
PRJ002,Scope Changes,0,12000,15000,12000,100.0,2026-03-18
PRJ003,Platform Development,30000,28000,38000,-2000,-6.7,2026-03-21
PRJ003,New Features,0,14000,20000,14000,100.0,2026-03-21
PRJ003,Third-party Integrations,0,6000,8000,6000,100.0,2026-03-21
PRJ004,EHR Development,45000,42000,65000,-3000,-6.7,2026-03-19
PRJ004,Compliance Implementation,0,18000,25000,18000,100.0,2026-03-19
PRJ004,Security Measures,0,8000,10000,8000,100.0,2026-03-19
PRJ005,Reporting System,28000,25000,45000,-3000,-10.7,2026-03-20
PRJ005,Real-time Features,0,22000,28000,22000,100.0,2026-03-20
PRJ005,Infrastructure Upgrade,0,8000,10000,8000,100.0,2026-03-20
PRJ006,Manufacturing System,40000,38000,50000,-2000,-5.0,2026-03-21
PRJ006,Supplier Integration,0,5000,15000,5000,100.0,2026-03-21
