cost_category,cost_type,unit_cost,monthly_volume,monthly_total,annual_projection
Defects,Surface_Finish_Rework,200,45,9000,108000
Defects,Dimensional_Rework,150,32,4800,57600
Defects,Material_Defect_Scrap,300,18,5400,64800
Warranty,Surface_Finish_Claims,450,28,12600,151200
Warranty,Dimensional_Claims,320,22,7040,84480
Warranty,Material_Defect_Claims,650,15,9750,117000
Labor,Rework_Hours,85,120,10200,122400
Labor,Quality_Inspection_Overtime,95,40,3800,45600
Material,Scrap_Material_Cost,125,55,6875,82500
Material,Additional_Raw_Material,180,25,4500,54000
Customer,Return_Processing,75,38,2850,34200
Customer,Expedited_Shipping,220,12,2640,31680
Legal,Compliance_Issues,1200,2,2400,28800
Legal,Customer_Disputes,3500,1,3500,42000
Equipment,Unplanned_Downtime,2800,3,8400,100800
Equipment,Emergency_Repairs,4500,2,9000,108000
Total,All_Categories,,,113235,1432060
