role,hire_date,time_to_productivity_months,initial_salary,productivity_at_3_months,productivity_at_6_months,productivity_at_12_months,retention_24_months
Consultant,2023-01-15,4.5,72000,0.45,0.75,0.95,1
Senior Consultant,2023-02-20,3.2,89000,0.55,0.85,0.98,1
Principal,2023-03-10,2.8,120000,0.65,0.90,1.02,1
Developer,2023-04-05,5.1,78000,0.40,0.70,0.92,0
Tech Lead,2023-05-12,3.5,105000,0.50,0.80,0.97,1
Architect,2023-06-08,2.5,125000,0.70,0.95,1.05,1
Analyst,2023-07-20,4.8,67000,0.35,0.65,0.88,1
Senior Analyst,2023-08-15,3.7,85000,0.50,0.78,0.95,1
Manager,2023-09-30,3.0,100000,0.60,0.85,1.00,1
Consultant,2023-10-22,4.2,73000,0.48,0.77,0.96,1
Developer,2023-11-18,5.3,79000,0.38,0.68,0.90,1
Senior Consultant,2023-12-05,3.4,91000,0.52,0.83,0.97,1
QA Engineer,2024-01-10,4.6,82000,0.42,0.72,0.93,1
DevOps Engineer,2024-02-14,4.0,92000,0.45,0.75,0.94,1
Data Engineer,2024-03-22,4.4,96000,0.43,0.73,0.95,1
Consultant,2024-04-18,4.3,74000,0.47,0.76,0.94,1
Security Analyst,2024-05-25,3.8,88000,0.48,0.78,0.96,1
Full Stack Developer,2024-06-12,4.7,84000,0.41,0.71,0.92,1
Platform Engineer,2024-07-08,3.9,94000,0.46,0.76,0.95,1
Senior Analyst,2024-08-20,3.6,87000,0.51,0.79,0.96,1
