client_id,last_meeting_date,meeting_frequency_quarterly,email_response_time_hours,partner_interaction_score,client_satisfaction_score,service_requests_ytd,referrals_provided
C001,2024-03-28,2,18,6.5,7.2,3,0
C002,2024-04-15,4,4,9.1,8.8,12,2
C003,2024-02-14,1,35,4.2,6.1,1,0
C004,2024-04-10,3,8,7.8,8.1,7,1
C005,2024-01-22,1,28,5.1,6.8,2,0
C006,2024-04-20,5,2,9.5,9.2,18,3
C007,2024-04-05,3,12,7.5,7.9,8,1
C008,2024-03-15,2,22,5.8,7.1,4,0
C009,2024-04-18,4,6,8.7,8.5,15,2
C010,2024-03-25,2,16,6.9,7.6,5,1
C011,2024-04-12,4,7,8.2,8.3,11,2
C012,2024-02-28,1,24,5.5,6.9,3,0
C013,2024-01-30,1,31,4.8,6.3,2,0
C014,2024-04-16,4,5,8.9,8.7,14,2
C015,2024-03-08,2,26,5.9,7.3,3,0
C016,2024-04-22,5,3,9.3,9.0,20,4
C017,2024-03-30,2,14,7.1,7.8,6,1
C018,2024-04-08,3,9,8.0,8.2,9,1
C019,2024-02-18,2,20,6.2,7.4,4,0
C020,2024-04-14,4,6,8.5,8.6,13,2
C021,2024-03-20,2,17,6.8,7.5,5,0
C022,2024-04-19,4,4,8.8,8.9,16,3
C023,2024-02-05,1,29,5.2,6.7,2,0
C024,2024-03-18,2,13,7.3,7.7,6,1
C025,2024-04-11,4,8,8.1,8.4,10,2
C026,2024-04-17,5,3,9.2,8.9,17,3
C027,2024-02-25,1,25,5.6,7.0,3,0
C028,2024-03-12,2,19,6.4,7.2,4,0
C029,2024-04-02,3,11,7.6,8.0,7,1
C030,2024-04-09,3,10,7.9,8.1,8,1
