PO_ID,Date,Department,Vendor_ID,Vendor_Name,Category,Item_Description,Quantity,Unit_Price,Total_Amount,Approver,Payment_Terms,Contract_ID
PO-2024-001,2024-07-15,Manufacturing,V001,Industrial Supply Co,Raw Materials,Steel Rods 10mm,500,12.50,6250.00,John Miller,Net 30,C001
PO-2024-002,2024-07-16,IT,V002,TechSource Ltd,Hardware,Laptops Dell Latitude,25,899.99,22499.75,Sarah Chen,Net 45,C002
PO-2024-003,2024-07-16,Manufacturing,V003,Metal Works Inc,Raw Materials,Steel Rods 10mm,200,14.25,2850.00,John Miller,Net 15,
PO-2024-004,2024-07-18,Facilities,V004,Office Plus,Office Supplies,Copy Paper A4,100,8.99,899.00,Mike Johnson,Net 30,C003
PO-2024-005,2024-07-20,Manufacturing,V001,Industrial Supply Co,Raw Materials,Aluminum Sheets,300,25.75,7725.00,John Miller,Net 30,C001
PO-2024-006,2024-07-22,IT,V005,CompuTech Solutions,Software,Adobe Creative Suite,10,599.00,5990.00,Sarah Chen,Net 30,
PO-2024-007,2024-07-23,HR,V006,Recruitment Plus,Services,Executive Search,1,15000.00,15000.00,Lisa Wang,Net 15,
PO-2024-008,2024-07-25,Manufacturing,V007,Quality Materials,Raw Materials,Steel Rods 10mm,150,13.80,2070.00,John Miller,Net 45,
PO-2024-009,2024-07-26,Facilities,V008,Clean & Bright,Services,Janitorial Services,1,2500.00,2500.00,Mike Johnson,Net 30,C004
PO-2024-010,2024-07-28,IT,V002,TechSource Ltd,Hardware,Network Switches,8,450.00,3600.00,Sarah Chen,Net 45,C002
PO-2024-011,2024-07-30,Manufacturing,V001,Industrial Supply Co,Raw Materials,Copper Wire,1000,3.25,3250.00,John Miller,Net 30,C001
PO-2024-012,2024-08-02,Marketing,V009,Print Masters,Marketing,Brochure Printing,5000,0.85,4250.00,Amy Rodriguez,Net 30,
PO-2024-013,2024-08-05,Manufacturing,V003,Metal Works Inc,Raw Materials,Aluminum Sheets,250,27.50,6875.00,John Miller,Net 15,
PO-2024-014,2024-08-07,IT,V010,Software Direct,Software,Microsoft Office 365,50,12.50,625.00,Sarah Chen,Net 30,C005
PO-2024-015,2024-08-08,Facilities,V004,Office Plus,Office Supplies,Printer Cartridges,20,85.00,1700.00,Mike Johnson,Net 30,C003
PO-2024-016,2024-08-10,Manufacturing,V001,Industrial Supply Co,Equipment,Drill Bits Set,25,45.00,1125.00,John Miller,Net 30,C001
PO-2024-017,2024-08-12,HR,V011,Training Solutions,Services,Leadership Training,1,8500.00,8500.00,Lisa Wang,Net 15,
PO-2024-018,2024-08-15,Manufacturing,V007,Quality Materials,Raw Materials,Copper Wire,800,3.45,2760.00,John Miller,Net 45,
PO-2024-019,2024-08-16,IT,V012,Cloud Systems,Services,AWS Cloud Services,1,4500.00,4500.00,Sarah Chen,Net 30,
PO-2024-020,2024-08-18,Facilities,V013,Security First,Services,Security System Upgrade,1,12000.00,12000.00,Mike Johnson,Net 30,
PO-2024-021,2024-08-20,Manufacturing,V001,Industrial Supply Co,Raw Materials,Steel Rods 10mm,600,12.25,7350.00,John Miller,Net 30,C001
PO-2024-022,2024-08-22,Marketing,V014,Digital Agency,Marketing,Website Redesign,1,25000.00,25000.00,Amy Rodriguez,Net 45,
PO-2024-023,2024-08-25,Manufacturing,V015,Precision Tools,Equipment,Measuring Instruments,15,120.00,1800.00,John Miller,Net 30,
