claim_id,claim_type,filing_date,adjuster_id,initial_complexity,claim_amount,customer_age,policy_premium,priority_level,days_pending,customer_tier
ACT001,Auto,2025-04-20,ADJ003,5,12800,35,1450,Medium,9,Gold
ACT002,Home,2025-04-18,ADJ007,7,38900,52,2650,High,11,Platinum
ACT003,Commercial,2025-04-15,,9,285000,46,11200,Critical,14,Enterprise
ACT004,Auto,2025-04-22,ADJ001,3,7500,28,980,Low,7,Silver
ACT005,Home,2025-04-19,ADJ009,6,24700,41,1950,Medium,10,Gold
ACT006,Auto,2025-04-21,ADJ002,4,9800,33,1280,Medium,8,Silver
ACT007,Commercial,2025-04-16,,10,412000,49,15800,Critical,13,Enterprise
ACT008,Auto,2025-04-23,ADJ004,2,5200,26,750,Low,6,Bronze
ACT009,Home,2025-04-17,ADJ008,8,51300,58,3200,High,12,Platinum
ACT010,Auto,2025-04-24,ADJ003,4,11200,31,1380,Medium,5,Silver
ACT011,Commercial,2025-04-14,,8,198000,43,8900,High,15,Enterprise
ACT012,Home,2025-04-20,ADJ006,5,18900,39,1680,Medium,9,Gold
ACT013,Auto,2025-04-25,ADJ001,3,8400,29,1150,Low,4,Bronze
ACT014,Home,2025-04-19,ADJ005,7,42600,55,2850,High,10,Platinum
ACT015,Auto,2025-04-22,ADJ002,5,15600,36,1750,Medium,7,Gold
ACT016,Commercial,2025-04-13,,9,356000,51,13200,Critical,16,Enterprise
ACT017,Auto,2025-04-26,ADJ004,2,6800,25,890,Low,3,Bronze
ACT018,Home,2025-04-18,ADJ007,6,28400,47,2100,Medium,11,Gold
ACT019,Auto,2025-04-23,ADJ003,4,13200,34,1520,Medium,6,Silver
ACT020,Commercial,2025-04-15,,10,475000,48,17500,Critical,14,Enterprise
ACT021,Home,2025-04-21,ADJ009,8,46800,61,3100,High,8,Platinum
ACT022,Auto,2025-04-24,ADJ001,3,9100,30,1200,Low,5,Silver
ACT023,Home,2025-04-20,ADJ008,6,22300,44,1850,Medium,9,Gold
ACT024,Auto,2025-04-25,ADJ002,5,16900,37,1680,Medium,4,Gold
ACT025,Commercial,2025-04-16,,8,225000,45,9800,High,13,Enterprise
