client_id,month_year,emails_sent,emails_received,calls_made,calls_received,meetings_held,response_rate,avg_response_time_hours
C001,2025-01,24,18,8,3,2,0.75,4.2
C002,2025-01,32,28,12,8,3,0.88,2.1
C003,2025-01,16,8,4,1,1,0.50,12.3
C004,2025-01,28,22,10,5,2,0.79,6.1
C005,2025-01,36,34,15,12,4,0.94,1.8
C006,2025-01,20,12,6,2,1,0.60,18.7
C007,2025-01,30,26,11,7,3,0.87,3.2
C008,2025-01,26,20,9,4,2,0.77,7.4
C009,2025-01,22,19,7,4,2,0.86,4.8
C010,2025-01,28,25,10,8,3,0.89,2.9
C011,2025-01,18,10,5,1,1,0.56,15.2
C012,2025-01,34,31,13,9,4,0.91,2.4
C013,2025-01,26,23,9,6,2,0.88,3.1
C014,2025-01,24,19,8,4,2,0.79,5.6
C015,2025-01,20,17,6,3,2,0.85,4.5
C016,2025-01,32,29,12,10,3,0.91,2.2
C017,2025-01,22,14,7,2,1,0.64,14.8
C018,2025-01,25,22,8,5,2,0.88,3.7
C019,2025-01,30,27,11,9,3,0.90,2.6
C020,2025-01,16,9,4,1,1,0.56,16.9
C021,2025-01,26,22,9,6,2,0.85,4.1
C022,2025-01,28,24,10,6,3,0.86,3.9
C023,2025-01,29,25,10,7,3,0.86,3.4
C024,2025-01,24,18,8,3,2,0.75,8.2
C025,2025-01,19,11,5,2,1,0.58,17.3
