loan_id,current_balance,monthly_payment,last_payment_date,last_payment_amount,payments_missed_12m,current_risk_rating,collateral_value,geographic_region,borrower_id,contact_priority
L2024001,398750,5950,2024-12-01,5950,0,Low,600000,Northeast,B001,Standard
L2024002,279456,1329,2024-12-01,1329,0,Low,356250,Southeast,B002,Standard
L2024004,715625,7292,2024-12-01,7292,0,Low,1071429,West,B004,Standard
L2024005,192583,905,2024-11-15,905,1,Medium,229412,Northeast,B005,Watch
L2024007,292000,5600,2024-10-15,2800,2,High,374359,Midwest,B007,Immediate
L2024008,418237,1968,2024-12-01,1968,0,Low,566667,West,B008,Standard
L2024009,38500,700,2024-12-01,700,0,Low,0,Northeast,B009,Standard
L2024010,663000,8500,2024-12-01,8500,0,Low,944444,Southeast,B010,Standard
L2024011,310156,1458,2024-12-01,1458,0,Low,384146,Midwest,B011,Standard
L2024013,489583,6825,2024-12-01,6825,0,Low,764706,Northeast,B013,Standard
L2024014,260729,1227,2024-12-01,1227,0,Low,339744,Southeast,B014,Standard
L2024015,33917,633,2024-09-15,633,3,High,0,Midwest,B015,Immediate
L2024016,848148,9245,2024-12-01,9245,0,Low,1369231,West,B016,Standard
L2024017,172222,813,2024-12-01,813,0,Low,198864,Northeast,B017,Standard
L2024019,404167,4958,2024-12-01,4958,0,Low,574324,Midwest,B019,Standard
L2024020,379097,1785,2024-12-01,1785,0,Low,506579,West,B020,Standard
L2024021,42857,643,2024-12-01,643,0,Medium,0,Northeast,B021,Standard
L2024022,583333,7333,2024-12-01,7333,0,Low,867606,Southeast,B022,Standard
L2024023,221875,1042,2024-12-01,1042,0,Low,271084,Midwest,B023,Standard
L2024024,29857,943,2024-10-15,472,2,High,0,West,B024,Immediate
L2024025,462708,7292,2024-12-01,7292,0,Medium,585076,Northeast,B025,Standard
L2024026,290521,1366,2024-12-01,1366,0,Low,355696,Southeast,B026,Standard
L2024027,27545,527,2024-12-01,527,0,Low,0,Midwest,B027,Standard
L2024028,697500,9000,2024-12-01,9000,0,Low,1043478,West,B028,Standard
L2024029,163542,767,2024-11-15,767,1,Medium,191860,Northeast,B029,Watch
L2024030,35694,694,2024-12-01,694,0,Medium,0,Southeast,B030,Standard
