ticket_id,channel,category,priority,agent_id,customer_id,created_date,resolved_date,resolution_time_hours,customer_satisfaction,issue_description,resolution_notes
TKT001,email,billing,medium,AGT007,CUST2341,2024-01-15 09:30:00,2024-01-17 14:45:00,53.25,7,"Billing discrepancy on monthly statement","Corrected billing error, issued credit"
TKT002,phone,technical,high,AGT003,CUST5672,2024-01-15 11:20:00,2024-01-15 16:30:00,5.17,9,"Internet connection down","Remotely reset modem, service restored"
TKT003,chat,account,low,AGT012,CUST8901,2024-01-15 14:15:00,2024-01-18 10:30:00,68.25,6,"Password reset request","Password reset completed via email"
TKT004,social_media,complaint,high,AGT005,CUST1234,2024-01-16 08:45:00,2024-01-16 12:30:00,3.75,8,"Service outage complaint on Twitter","Provided outage update and compensation"
TKT005,email,technical,medium,AGT009,CUST4567,2024-01-16 13:20:00,2024-01-19 09:15:00,67.92,5,"Slow internet speeds","Upgraded service plan, improved speeds"
TKT006,phone,billing,high,AGT007,CUST7890,2024-01-17 10:00:00,2024-01-17 15:45:00,5.75,9,"Unauthorized charges on account","Removed charges, updated account security"
TKT007,chat,technical,low,AGT003,CUST2345,2024-01-17 16:30:00,2024-01-20 11:20:00,66.83,7,"Email setup assistance","Configured email settings on device"
TKT008,email,account,medium,AGT012,CUST6789,2024-01-18 09:45:00,2024-01-21 14:30:00,76.75,4,"Account suspension issue","Resolved payment issue, reactivated account"
TKT009,phone,complaint,high,AGT005,CUST9012,2024-01-18 14:20:00,2024-01-18 17:45:00,3.42,8,"Poor customer service experience","Manager callback, service credit applied"
TKT010,social_media,technical,medium,AGT009,CUST3456,2024-01-19 11:30:00,2024-01-22 08:15:00,68.75,6,"Mobile data not working","Reset network settings, issue resolved"
TKT011,chat,billing,low,AGT007,CUST7891,2024-01-19 15:40:00,2024-01-23 10:20:00,90.67,5,"Question about plan features","Explained plan details, no changes needed"
TKT012,email,technical,high,AGT003,CUST1235,2024-01-20 08:15:00,2024-01-20 13:45:00,5.50,9,"Complete service outage","Identified line issue, dispatched technician"
TKT013,phone,account,medium,AGT012,CUST4568,2024-01-20 12:30:00,2024-01-23 16:20:00,75.83,6,"Change service address","Updated account, scheduled installation"
TKT014,chat,complaint,high,AGT005,CUST7892,2024-01-21 09:20:00,2024-01-21 14:15:00,4.92,7,"Billing error complaint","Corrected error, applied account credit"
TKT015,social_media,technical,low,AGT009,CUST2346,2024-01-21 17:00:00,2024-01-25 12:30:00,91.50,8,"WiFi password forgotten","Provided password reset instructions"
TKT016,email,billing,medium,AGT007,CUST6790,2024-01-22 10:45:00,2024-01-24 15:30:00,52.75,7,"Late payment fee dispute","Waived late fee, updated payment method"
TKT017,phone,technical,high,AGT003,CUST9013,2024-01-22 13:15:00,2024-01-22 18:45:00,5.50,9,"No dial tone on landline","Identified line fault, repair scheduled"
TKT018,chat,account,low,AGT012,CUST3457,2024-01-23 11:00:00,2024-01-26 09:30:00,70.50,6,"Update contact information","Contact details updated successfully"
TKT019,email,complaint,medium,AGT005,CUST7893,2024-01-23 14:30:00,2024-01-26 11:45:00,69.25,5,"Poor network quality complaint","Network optimization performed in area"
TKT020,social_media,technical,high,AGT009,CUST1236,2024-01-24 16:20:00,2024-01-24 20:15:00,3.92,8,"Facebook complaint about service","Direct message response, issue escalated"
TKT021,phone,billing,low,AGT007,CUST4569,2024-01-24 08:45:00,2024-01-27 13:20:00,76.58,6,"Billing cycle question","Explained billing cycle, no action needed"
TKT022,chat,technical,medium,AGT003,CUST7894,2024-01-25 12:15:00,2024-01-28 10:30:00,70.25,7,"Internet intermittent drops","Replaced faulty router, issue resolved"
TKT023,email,account,high,AGT012,CUST2347,2024-01-25 15:45:00,2024-01-25 19:30:00,3.75,9,"Urgent account lockout","Security verified, account unlocked"
TKT024,phone,complaint,medium,AGT005,CUST6791,2024-01-26 09:30:00,2024-01-29 14:45:00,77.25,4,"Multiple service interruptions","Service credits applied, upgrade offered"
TKT025,social_media,technical,low,AGT009,CUST9014,2024-01-26 18:00:00,2024-01-30 11:15:00,89.25,7,"Twitter complaint about speeds","Speed test performed, settings optimized"
TKT026,chat,billing,medium,AGT007,CUST3458,2024-01-27 11:45:00,2024-01-30 16:30:00,76.75,6,"Promotional rate expiration","Renewed promotional rate for 12 months"
TKT027,email,technical,high,AGT003,CUST7895,2024-01-27 14:20:00,2024-01-27 19:45:00,5.42,8,"Business line down","Priority repair dispatched, service restored"
TKT028,phone,account,low,AGT012,CUST1237,2024-01-28 10:15:00,2024-01-31 15:20:00,77.08,5,"Service plan downgrade","Plan changed, billing adjusted"
TKT029,chat,complaint,high,AGT005,CUST4570,2024-01-28 16:30:00,2024-01-28 20:15:00,3.75,8,"Escalated billing dispute","Manager review, dispute resolved favorably"
TKT030,social_media,technical,medium,AGT009,CUST7896,2024-01-29 13:45:00,2024-02-01 09:30:00,67.75,7,"Instagram story about poor signal","Signal booster recommended and installed"
