transaction_id,customer_id,product_id,quantity,purchase_date,order_total
T001,C1234,P001,1,2024-01-15,79.99
T002,C1234,P011,1,2024-01-15,29.99
T003,C2345,P004,1,2024-01-16,89.99
T004,C2345,P019,1,2024-01-16,34.99
T005,C3456,P005,1,2024-01-17,149.99
T006,C3456,P016,1,2024-01-17,79.99
T007,C3456,P012,1,2024-01-17,89.99
T008,C4567,P006,1,2024-01-18,124.99
T009,C4567,P024,1,2024-01-18,49.99
T010,C5678,P015,1,2024-01-19,199.99
T011,C5678,P010,1,2024-01-19,119.99
T012,C6789,P007,1,2024-01-20,129.99
T013,C6789,P017,1,2024-01-20,74.99
T014,C7890,P008,1,2024-01-21,39.99
T015,C7890,P019,1,2024-01-21,34.99
T016,C8901,P002,2,2024-01-22,49.98
T017,C9012,P013,1,2024-01-23,69.99
T018,C9012,P020,1,2024-01-23,19.99
T019,C1011,P014,1,2024-01-24,49.99
T020,C1011,P018,1,2024-01-24,44.99
T021,C1122,P009,1,2024-01-25,59.99
T022,C1122,P011,1,2024-01-25,29.99
T023,C1233,P021,1,2024-01-26,64.99
T024,C1233,P025,1,2024-01-26,39.99
T025,C1344,P022,1,2024-01-27,39.99
T026,C1344,P009,1,2024-01-27,59.99
T027,C1455,P023,1,2024-01-28,29.99
T028,C1566,P003,1,2024-01-29,34.99
T029,C1566,P023,1,2024-01-29,29.99
T030,C1677,P001,1,2024-01-30,79.99
T031,C1677,P013,1,2024-01-30,69.99
T032,C1788,P005,1,2024-01-31,149.99
T033,C1788,P025,1,2024-01-31,39.99
T034,C1899,P006,1,2024-02-01,124.99
T035,C1899,P001,1,2024-02-01,79.99
T036,C2000,P015,1,2024-02-02,199.99
T037,C2000,P019,1,2024-02-02,34.99
T038,C2111,P016,1,2024-02-03,79.99
T039,C2111,P021,1,2024-02-03,64.99
T040,C2222,P004,1,2024-02-04,89.99
T041,C2222,P014,1,2024-02-04,49.99
T042,C2333,P012,1,2024-02-05,89.99
T043,C2333,P016,1,2024-02-05,79.99
T044,C2444,P017,1,2024-02-06,74.99
T045,C2444,P024,1,2024-02-06,49.99
T046,C2555,P018,1,2024-02-07,44.99
T047,C2555,P014,1,2024-02-07,49.99
T048,C2666,P010,1,2024-02-08,119.99
T049,C2666,P008,1,2024-02-08,39.99
T050,C2777,P007,1,2024-02-09,129.99
