call_id,customer_id,date,duration_minutes,agent_id,call_type,sentiment_score,transcript_summary
CALL-001,CUST-007,2024-03-10,23,AGT-003,support,"Customer extremely frustrated with recurring data export failures. Third time calling about same issue. Mentioned considering alternatives. Agent provided workaround but customer wants permanent fix. Escalated to engineering team."
CALL-002,CUST-018,2024-03-12,31,AGT-012,technical,"Technical discussion about Salesforce integration setup. Customer appreciates the detailed support but concerned about complexity of implementation. Needs timeline for full deployment. Overall positive interaction."
CALL-003,CUST-045,2024-03-14,18,AGT-008,onboarding,"New customer onboarding call. Very excited about platform capabilities. Some confusion about user permissions setup. Agent walked through configuration. Customer happy with responsiveness and support quality."
CALL-004,CUST-003,2024-03-15,27,AGT-015,support,"Performance issues discussion. Customer paying premium price but experiencing slow load times. Frustrated that issue persists despite multiple tickets. Wants concrete timeline for resolution or will consider canceling."
CALL-005,CUST-052,2024-03-17,41,AGT-003,renewal,"Renewal discussion went well initially but customer raised concerns about recent stability issues affecting their team productivity. Negotiated discount to maintain relationship. Customer agreed to renew with price adjustment."
CALL-006,CUST-009,2024-03-19,19,AGT-012,support,"User management problems resolved during call. Customer relieved to get issue fixed quickly. Suggested improving error messages in the UI to be more helpful. Overall satisfied with support response time."
CALL-007,CUST-067,2024-03-20,35,AGT-008,feature_discussion,"Product feedback session. Customer loves core functionality but wants better reporting customization. Provided detailed wishlist of features. Very engaged and sees long-term value in platform."
CALL-008,CUST-024,2024-03-21,29,AGT-015,escalation,"Escalated call about data accuracy issues in custom reports. Customer losing trust in platform reliability. Agent reproduced issue and committed to emergency fix. Customer agreed to wait 48 hours for resolution."
CALL-009,CUST-078,2024-03-22,22,AGT-003,billing,"Billing inquiry about usage charges. Customer confused by invoicing but satisfied with explanation. Appreciates transparent pricing model. Discussed upgrading to higher tier for better value."
CALL-010,CUST-012,2024-03-23,16,AGT-012,support,"Quick resolution of billing discrepancy. Customer happy with fast turnaround and accurate adjustment. Praised agent professionalism. No concerns about continuing subscription."
