borrower_id,age,annual_income,credit_score,debt_to_income_ratio,employment_years,employment_type,monthly_housing_payment,savings_balance,checking_balance,investment_balance,previous_defaults,education_level,marital_status,dependents
B001,34,85000,720,0.28,8,full_time,1200,45000,8500,25000,0,bachelor,married,2
B002,29,52000,680,0.35,4,full_time,800,12000,3200,5000,0,associate,single,0
B003,42,38000,590,0.52,2,part_time,650,2500,800,0,1,high_school,divorced,1
B004,31,78000,740,0.25,6,full_time,1100,38000,6500,18000,0,master,married,1
B005,27,48000,700,0.31,3,full_time,750,8500,2800,3500,0,bachelor,single,0
B006,39,32000,560,0.58,1,contract,500,1200,450,0,2,high_school,single,2
B007,45,125000,780,0.22,15,full_time,1800,85000,15000,75000,0,master,married,3
B008,33,62000,710,0.29,7,full_time,900,18000,4200,12000,0,bachelor,married,0
B009,28,44000,650,0.38,2,full_time,600,6500,1800,2000,0,associate,single,0
B010,37,95000,750,0.26,12,full_time,1400,52000,9800,35000,0,bachelor,married,2
B011,24,35000,620,0.48,1,part_time,400,1800,600,0,0,associate,single,0
B012,41,68000,690,0.33,9,full_time,1000,22000,5500,15000,0,bachelor,divorced,1
B013,36,82000,730,0.27,10,full_time,1150,41000,7200,28000,0,master,married,2
B014,30,58000,695,0.32,5,full_time,850,14000,3800,8000,0,bachelor,single,0
B015,46,29000,540,0.62,0.5,unemployed,450,800,200,0,3,high_school,divorced,2
B016,43,145000,800,0.18,18,full_time,2100,125000,22000,95000,0,master,married,2
B017,26,41000,675,0.36,2,full_time,650,7200,2200,1500,0,bachelor,single,0
B018,35,59000,705,0.30,8,full_time,950,16500,4500,9500,0,associate,married,1
B019,32,71000,725,0.24,6,full_time,1050,28000,6200,22000,0,bachelor,married,1
B020,28,45000,640,0.45,3,contract,700,4500,1200,500,1,associate,single,0
B021,38,36000,610,0.41,4,part_time,550,3200,900,0,0,high_school,single,1
B022,40,102000,760,0.23,14,full_time,1550,68000,12500,48000,0,master,married,3
B023,25,47000,685,0.34,2,full_time,750,9500,2500,4000,0,bachelor,single,0
B024,44,33000,575,0.55,1,contract,480,1500,350,0,2,high_school,divorced,1
B025,48,165000,820,0.16,22,full_time,2400,185000,28000,125000,0,master,married,1
B026,31,54000,715,0.28,5,full_time,800,15500,4100,8500,0,bachelor,married,0
B027,27,39000,645,0.40,1,full_time,580,5200,1500,1000,0,associate,single,0
B028,35,89000,745,0.25,11,full_time,1300,48000,8200,32000,0,bachelor,married,2
B029,29,49000,690,0.33,4,full_time,780,11000,3100,5500,0,bachelor,single,0
B030,37,42000,600,0.49,3,part_time,650,3800,1100,500,1,associate,divorced,2
