month,segment,hosting_costs,support_costs,integration_costs,professional_services_costs,total_cogs
2023-05,Enterprise,145000,89000,67000,125000,426000
2023-05,Mid-Market,78000,45000,32000,78000,233000
2023-05,SMB,23000,18000,8000,12000,61000
2023-06,Enterprise,152000,95000,71000,134000,452000
2023-06,Mid-Market,82000,48000,35000,82000,247000
2023-06,SMB,25000,19000,9000,15000,68000
2023-07,Enterprise,159000,102000,75000,142000,478000
2023-07,Mid-Market,86000,52000,38000,89000,265000
2023-07,SMB,27000,21000,11000,18000,77000
2023-08,Enterprise,168000,108000,79000,151000,506000
2023-08,Mid-Market,91000,55000,41000,95000,282000
2023-08,SMB,29000,23000,12000,21000,85000
2023-09,Enterprise,175000,115000,83000,159000,532000
2023-09,Mid-Market,95000,58000,44000,102000,299000
2023-09,SMB,31000,25000,14000,24000,94000
2023-10,Enterprise,183000,122000,87000,168000,560000
2023-10,Mid-Market,99000,62000,47000,108000,316000
2023-10,SMB,33000,27000,15000,27000,102000
2023-11,Enterprise,192000,129000,92000,178000,591000
2023-11,Mid-Market,104000,65000,50000,115000,334000
2023-11,SMB,35000,29000,17000,30000,111000
2023-12,Enterprise,201000,136000,96000,187000,620000
2023-12,Mid-Market,108000,69000,53000,122000,352000
2023-12,SMB,37000,31000,18000,33000,119000
2024-01,Enterprise,210000,143000,101000,197000,651000
2024-01,Mid-Market,113000,72000,56000,128000,369000
2024-01,SMB,39000,33000,20000,36000,128000
2024-02,Enterprise,219000,151000,105000,206000,681000
2024-02,Mid-Market,118000,76000,59000,135000,388000
2024-02,SMB,41000,35000,21000,39000,136000
2024-03,Enterprise,228000,158000,110000,216000,712000
2024-03,Mid-Market,123000,79000,62000,142000,406000
2024-03,SMB,43000,37000,23000,42000,145000
2024-04,Enterprise,238000,166000,115000,225000,744000
2024-04,Mid-Market,128000,83000,65000,149000,425000
2024-04,SMB,45000,39000,24000,45000,153000
2024-05,Enterprise,247000,174000,119000,235000,775000
2024-05,Mid-Market,133000,86000,68000,156000,443000
2024-05,SMB,47000,41000,26000,48000,162000
2024-06,Enterprise,256000,182000,124000,244000,806000
2024-06,Mid-Market,138000,90000,71000,163000,462000
2024-06,SMB,49000,43000,27000,51000,170000
2024-07,Enterprise,266000,190000,129000,254000,839000
2024-07,Mid-Market,143000,94000,74000,171000,482000
2024-07,SMB,51000,45000,29000,54000,179000
2024-08,Enterprise,275000,198000,133000,263000,869000
2024-08,Mid-Market,148000,97000,77000,178000,500000
2024-08,SMB,53000,47000,30000,57000,187000
2024-09,Enterprise,285000,206000,138000,273000,902000
2024-09,Mid-Market,153000,101000,80000,186000,520000
2024-09,SMB,55000,49000,32000,60000,196000
2024-10,Enterprise,294000,214000,142000,282000,932000
2024-10,Mid-Market,158000,105000,83000,193000,539000
2024-10,SMB,57000,51000,33000,63000,204000
