distribution_center,product_code,product_name,current_stock,reorder_point,max_stock,last_restock_date,warehouse_location
DC_TX_01,SURG001,Surgical Gloves - Nitrile Large,2850,1500,5000,2024-05-15,A-12-3
DC_TX_01,CATH002,Foley Catheter 16Fr,450,200,800,2024-05-20,B-08-1
DC_TX_01,SUTR003,Absorbable Sutures 4-0,1200,600,2000,2024-05-18,C-15-2
DC_TX_01,IMPL004,Hip Implant Titanium,25,10,50,2024-05-22,D-05-1
DC_TX_01,BAND005,Elastic Bandages 4inch,3200,1000,4000,2024-05-10,A-18-4
DC_TX_01,SYRI006,Disposable Syringes 10ml,15800,8000,25000,2024-05-12,E-22-1
DC_CA_02,SURG001,Surgical Gloves - Nitrile Large,3200,1800,6000,2024-05-16,A-14-2
DC_CA_02,CATH002,Foley Catheter 16Fr,380,250,900,2024-05-19,B-09-3
DC_CA_02,SUTR003,Absorbable Sutures 4-0,1450,700,2200,2024-05-17,C-12-1
DC_CA_02,IMPL004,Hip Implant Titanium,18,12,60,2024-05-25,D-03-2
DC_CA_02,BAND005,Elastic Bandages 4inch,2950,1200,4500,2024-05-11,A-20-1
DC_CA_02,SYRI006,Disposable Syringes 10ml,18200,9000,28000,2024-05-13,E-25-3
DC_NY_03,SURG001,Surgical Gloves - Nitrile Large,2650,1400,4800,2024-05-14,A-11-1
DC_NY_03,CATH002,Foley Catheter 16Fr,520,180,750,2024-05-21,B-07-2
DC_NY_03,SUTR003,Absorbable Sutures 4-0,980,550,1800,2024-05-19,C-13-3
DC_NY_03,IMPL004,Hip Implant Titanium,32,8,45,2024-05-23,D-04-1
DC_NY_03,BAND005,Elastic Bandages 4inch,2750,900,3800,2024-05-09,A-17-2
DC_NY_03,SYRI006,Disposable Syringes 10ml,14500,7500,22000,2024-05-11,E-21-2
DC_AZ_04,SURG001,Surgical Gloves - Nitrile Large,1850,1000,3500,2024-05-17,A-13-4
DC_AZ_04,CATH002,Foley Catheter 16Fr,280,150,600,2024-05-20,B-06-1
DC_AZ_04,SUTR003,Absorbable Sutures 4-0,750,400,1500,2024-05-18,C-14-2
DC_AZ_04,IMPL004,Hip Implant Titanium,15,6,35,2024-05-24,D-02-3
DC_AZ_04,BAND005,Elastic Bandages 4inch,1950,700,3000,2024-05-12,A-19-1
DC_AZ_04,SYRI006,Disposable Syringes 10ml,11800,6000,18000,2024-05-14,E-23-4
DC_FL_05,SURG001,Surgical Gloves - Nitrile Large,2450,1200,4200,2024-05-15,A-15-3
DC_FL_05,CATH002,Foley Catheter 16Fr,420,160,700,2024-05-22,B-05-2
DC_FL_05,SUTR003,Absorbable Sutures 4-0,1100,500,1700,2024-05-19,C-11-1
DC_FL_05,IMPL004,Hip Implant Titanium,22,9,40,2024-05-25,D-01-2
DC_FL_05,BAND005,Elastic Bandages 4inch,2200,800,3200,2024-05-10,A-16-4
DC_FL_05,SYRI006,Disposable Syringes 10ml,13200,6500,20000,2024-05-13,E-24-1
DC_GA_06,SURG001,Surgical Gloves - Nitrile Large,2100,1100,3800,2024-05-16,A-12-2
DC_GA_06,CATH002,Foley Catheter 16Fr,350,140,650,2024-05-21,B-08-3
DC_GA_06,SUTR003,Absorbable Sutures 4-0,850,450,1600,2024-05-18,C-13-4
DC_GA_06,IMPL004,Hip Implant Titanium,19,7,38,2024-05-23,D-03-1
DC_GA_06,BAND005,Elastic Bandages 4inch,1800,650,2800,2024-05-11,A-18-2
DC_GA_06,SYRI006,Disposable Syringes 10ml,12500,5800,19000,2024-05-12,E-22-3
DC_WA_07,SURG001,Surgical Gloves - Nitrile Large,2750,1350,4500,2024-05-14,A-14-1
DC_WA_07,CATH002,Foley Catheter 16Fr,480,170,720,2024-05-20,B-07-4
DC_WA_07,SUTR003,Absorbable Sutures 4-0,1250,580,1900,2024-05-17,C-12-3
DC_WA_07,IMPL004,Hip Implant Titanium,28,11,48,2024-05-24,D-04-2
DC_WA_07,BAND005,Elastic Bandages 4inch,2450,850,3400,2024-05-09,A-17-1
DC_WA_07,SYRI006,Disposable Syringes 10ml,16200,7800,24000,2024-05-15,E-25-2
DC_CO_08,SURG001,Surgical Gloves - Nitrile Large,1950,950,3200,2024-05-18,A-13-2
DC_CO_08,CATH002,Foley Catheter 16Fr,320,130,580,2024-05-22,B-06-3
DC_CO_08,SUTR003,Absorbable Sutures 4-0,680,350,1400,2024-05-19,C-14-1
DC_CO_08,IMPL004,Hip Implant Titanium,14,5,32,2024-05-25,D-02-4
DC_CO_08,BAND005,Elastic Bandages 4inch,1650,600,2600,2024-05-10,A-19-3
DC_CO_08,SYRI006,Disposable Syringes 10ml,10800,5200,16500,2024-05-13,E-23-1
