loan_id,borrower_id,current_balance,original_amount,loan_type,credit_score_current,dti_ratio_current,payment_history_12m,industry_code,geography,risk_rating,last_payment_date,next_payment_due,monthly_payment,collateral_current_value
L2025001,B101,185000,200000,Mortgage,715,0.34,11,HEALTHCARE,Metro_North,B,2025-04-15,2025-05-15,1250,285000
L2025002,B102,42000,50000,Commercial,665,0.47,9,RETAIL,Suburban_East,C,2025-04-10,2025-05-10,1180,58000
L2025003,B103,290000,320000,Mortgage,745,0.29,12,FINANCE,Metro_North,A,2025-04-18,2025-05-18,1980,445000
L2025004,B104,68000,85000,Auto,680,0.41,10,TECH,Suburban_West,B,2025-04-12,2025-05-12,895,75000
L2025005,B105,155000,175000,Commercial,620,0.56,7,RESTAURANT,Rural_East,D,2025-03-28,2025-05-28,2450,165000
L2025006,B106,22000,28000,Personal,595,0.63,6,MANUFACTURING,Metro_West,D,2025-03-15,2025-06-15,785,0
L2025007,B107,125000,140000,Mortgage,720,0.32,12,EDUCATION,Metro_South,B,2025-04-20,2025-05-20,950,195000
L2025008,B108,380000,420000,Commercial,770,0.24,12,TECH,Metro_North,A,2025-04-22,2025-05-22,5200,580000
L2025009,B109,95000,110000,Auto,700,0.36,11,HEALTHCARE,Suburban_North,B,2025-04-14,2025-05-14,1150,105000
L2025010,B110,145000,165000,Commercial,640,0.51,8,RETAIL,Metro_East,C,2025-04-05,2025-05-05,2100,175000
L2025011,B111,35000,45000,Personal,650,0.49,9,FINANCE,Suburban_South,C,2025-04-16,2025-05-16,920,0
L2025012,B112,220000,250000,Mortgage,760,0.26,12,TECH,Metro_North,A,2025-04-19,2025-05-19,1520,365000
L2025013,B113,78000,95000,Commercial,675,0.44,10,MANUFACTURING,Rural_West,B,2025-04-11,2025-05-11,1380,105000
L2025014,B114,52000,65000,Auto,660,0.42,8,RESTAURANT,Suburban_East,C,2025-04-08,2025-05-08,980,58000
L2025015,B115,165000,180000,Mortgage,710,0.35,11,HEALTHCARE,Metro_South,B,2025-04-17,2025-05-17,1285,245000
L2025016,B116,88000,105000,Commercial,630,0.54,6,RETAIL,Rural_North,D,2025-03-22,2025-06-22,1650,98000
L2025017,B117,15000,20000,Personal,580,0.68,5,EDUCATION,Metro_West,D,2025-03-10,2025-07-10,450,0
L2025018,B118,275000,300000,Mortgage,740,0.30,12,FINANCE,Metro_North,A,2025-04-21,2025-05-21,1850,425000
L2025019,B119,135000,155000,Commercial,690,0.39,11,TECH,Suburban_West,B,2025-04-13,2025-05-13,1950,185000
L2025020,B120,48000,58000,Auto,720,0.33,12,HEALTHCARE,Metro_East,A,2025-04-23,2025-05-23,750,62000
