customer_id,month_year,login_frequency,session_duration_avg_minutes,appointments_scheduled,reports_generated,integrations_used,feature_adoption_score,error_rate_percent,mobile_usage_percent
CUST001,2024-11,145,23.5,1250,45,3,0.65,8.2,15
CUST002,2024-11,89,45.2,890,78,5,0.82,2.1,25
CUST003,2024-11,156,18.7,1456,23,2,0.58,12.5,8
CUST004,2024-11,234,35.6,2100,156,7,0.91,1.8,35
CUST005,2024-11,67,15.2,625,12,1,0.42,18.9,5
CUST006,2024-11,198,28.9,1789,89,4,0.76,4.3,22
CUST007,2024-11,123,22.1,1123,34,3,0.61,11.7,12
CUST008,2024-11,178,31.4,1567,67,6,0.78,3.9,28
CUST009,2024-11,89,19.8,834,19,2,0.51,15.2,7
CUST010,2024-11,267,42.3,2345,123,8,0.89,2.3,32
CUST011,2024-11,134,25.6,1234,56,4,0.69,7.8,18
CUST012,2024-11,298,38.9,2567,145,6,0.87,2.9,29
CUST013,2024-11,98,21.2,967,28,2,0.55,13.4,9
CUST014,2024-11,187,33.7,1678,89,5,0.81,3.2,26
CUST015,2024-11,76,16.8,712,15,1,0.48,16.7,6
CUST016,2024-11,203,29.5,1834,98,4,0.74,5.1,21
CUST017,2024-11,145,23.9,1289,45,3,0.63,9.8,14
CUST018,2024-11,167,27.2,1445,72,5,0.77,4.7,24
CUST019,2024-11,189,32.1,1678,87,6,0.79,3.8,27
CUST020,2024-11,234,36.8,2012,134,7,0.85,2.7,31
CUST021,2024-11,112,20.5,1023,31,2,0.57,11.9,11
CUST022,2024-11,201,34.2,1756,95,5,0.83,3.1,25
CUST023,2024-11,156,24.7,1367,58,3,0.68,6.9,17
CUST024,2024-11,245,40.1,2134,128,8,0.88,2.4,33
CUST025,2024-11,143,22.8,1278,48,4,0.66,8.5,16
CUST026,2024-11,178,30.5,1589,76,5,0.75,4.8,23
CUST027,2024-11,98,18.9,876,22,2,0.52,14.6,8
CUST028,2024-11,213,35.4,1923,108,6,0.84,2.8,30
CUST029,2024-11,267,41.7,2398,142,7,0.90,2.1,34
CUST030,2024-11,134,26.3,1245,54,4,0.71,7.2,19
