competitor_name,market_share_pct,avg_win_rate,typical_pricing_strategy,strength_areas,common_industries,avg_team_size
StratConsult Global,15.2,42,Premium,Strategy|Innovation,Technology|Financial Services,6.2
OpEx Partners,12.8,38,Competitive,Operations|Process Improvement,Manufacturing|Healthcare,4.8
TransformCorp,11.5,45,Value-based,Digital Transformation|Change Management,Technology|Retail,5.5
Efficiency Experts,9.3,35,Low-cost,Cost Reduction|Lean Operations,Manufacturing|Transportation,3.9
Innovation Labs,8.7,48,Premium,Innovation|R&D Strategy,Technology|Pharmaceuticals,7.1
ProcessPro Consulting,7.9,33,Competitive,Process Optimization|Quality Systems,Manufacturing|Energy,4.2
DigitalFirst Solutions,7.2,52,Value-based,Digital Strategy|Cloud Migration,Technology|Financial Services,5.8
GrowthMax Advisors,6.8,29,Competitive,Growth Strategy|Market Entry,Retail|Consumer Products,4.5
RiskMitigate Corp,6.1,41,Premium,Risk Management|Compliance,Financial Services|Healthcare,5.2
SustainabilityPlus,5.4,36,Value-based,Sustainability|ESG Strategy,Energy|Manufacturing,4.6
DataDriven Consulting,4.8,44,Competitive,Analytics|Business Intelligence,Technology|Financial Services,5.1
SupplyChain Masters,4.3,31,Low-cost,Supply Chain|Logistics,Retail|Manufacturing,3.7
