employee_id,survey_date,overall_satisfaction,work_life_balance,career_development,manager_support,recognition,workload_manageability,team_collaboration,company_culture,job_security,compensation_fairness,growth_opportunities,autonomy,communication_effectiveness,innovation_encouragement,recommendation_score
EMP001,2024-10-01,6,5,4,7,5,4,8,6,7,5,4,7,6,7,7
EMP001,2025-01-01,5,4,3,6,4,3,7,5,6,4,3,6,5,6,6
EMP001,2025-04-01,4,3,3,5,3,3,6,4,5,4,3,5,4,5,4
EMP001,2025-07-01,3,2,2,4,2,2,5,3,4,3,2,4,3,4,3
EMP001,2025-10-01,4,3,3,5,3,3,6,4,5,4,3,5,4,5,5
EMP001,2026-01-01,5,4,4,6,4,4,7,5,6,5,4,6,5,6,6
EMP002,2024-10-01,8,7,8,8,7,6,9,8,8,7,8,8,8,8,9
EMP002,2025-01-01,7,6,7,7,6,5,8,7,7,6,7,7,7,7,8
EMP002,2025-04-01,6,5,6,6,5,4,7,6,6,5,6,6,6,6,7
EMP002,2025-07-01,5,4,5,5,4,3,6,5,5,4,5,5,5,5,6
EMP002,2025-10-01,6,5,6,6,5,4,7,6,6,5,6,6,6,6,7
EMP002,2026-01-01,7,6,7,7,6,5,8,7,7,6,7,7,7,7,8
EMP003,2024-10-01,7,8,6,7,6,7,8,7,8,6,6,8,7,7,8
EMP003,2025-01-01,6,7,5,6,5,6,7,6,7,5,5,7,6,6,7
EMP003,2025-04-01,5,6,4,5,4,5,6,5,6,4,4,6,5,5,6
EMP003,2025-07-01,4,5,3,4,3,4,5,4,5,3,3,5,4,4,5
EMP003,2025-10-01,5,6,4,5,4,5,6,5,6,4,4,6,5,5,6
EMP003,2026-01-01,6,7,5,6,5,6,7,6,7,5,5,7,6,6,7
EMP004,2024-10-01,9,9,8,9,8,8,9,9,9,8,8,9,9,9,10
EMP004,2025-01-01,8,8,7,8,7,7,8,8,8,7,7,8,8,8,9
EMP004,2025-04-01,7,7,6,7,6,6,7,7,7,6,6,7,7,7,8
EMP004,2025-07-01,6,6,5,6,5,5,6,6,6,5,5,6,6,6,7
EMP004,2025-10-01,7,7,6,7,6,6,7,7,7,6,6,7,7,7,8
EMP004,2026-01-01,8,8,7,8,7,7,8,8,8,7,7,8,8,8,9
EMP005,2024-10-01,5,4,5,6,5,4,6,5,6,5,5,5,5,6,6
EMP005,2025-01-01,4,3,4,5,4,3,5,4,5,4,4,4,4,5,5
EMP005,2025-04-01,3,2,3,4,3,2,4,3,4,3,3,3,3,4,4
EMP005,2025-07-01,2,1,2,3,2,1,3,2,3,2,2,2,2,3,3
EMP005,2025-10-01,3,2,3,4,3,2,4,3,4,3,3,3,3,4,4
EMP005,2026-01-01,4,3,4,5,4,3,5,4,5,4,4,4,4,5,5
