month,channel,segment,leads,opportunities,customers_acquired,total_acquisition_cost,cost_per_lead,cost_per_customer
2023-05,Sales,Enterprise,45,18,8,89000,1978,11125
2023-05,Sales,Mid-Market,78,23,12,76000,974,6333
2023-05,Sales,SMB,120,15,6,45000,375,7500
2023-05,Marketing,Enterprise,125,25,5,95000,760,19000
2023-05,Marketing,Mid-Market,285,42,18,78000,274,4333
2023-05,Marketing,SMB,450,68,28,52000,116,1857
2023-05,Partnerships,Enterprise,28,12,6,34000,1214,5667
2023-05,Partnerships,Mid-Market,42,15,8,28000,667,3500
2023-05,Partnerships,SMB,35,8,4,12000,343,3000
2023-06,Sales,Enterprise,52,21,9,95000,1827,10556
2023-06,Sales,Mid-Market,85,28,15,82000,965,5467
2023-06,Sales,SMB,135,18,8,48000,356,6000
2023-06,Marketing,Enterprise,142,31,7,105000,739,15000
2023-06,Marketing,Mid-Market,310,48,22,85000,274,3864
2023-06,Marketing,SMB,485,78,32,58000,120,1813
2023-06,Partnerships,Enterprise,32,14,7,38000,1188,5429
2023-06,Partnerships,Mid-Market,48,18,9,31000,646,3444
2023-06,Partnerships,SMB,38,9,5,14000,368,2800
2023-07,Sales,Enterprise,58,24,11,102000,1759,9273
2023-07,Sales,Mid-Market,92,32,18,88000,957,4889
2023-07,Sales,SMB,148,21,9,52000,351,5778
2023-07,Marketing,Enterprise,158,35,8,115000,728,14375
2023-07,Marketing,Mid-Market,335,54,25,92000,275,3680
2023-07,Marketing,SMB,520,88,35,64000,123,1829
2023-07,Partnerships,Enterprise,35,16,8,42000,1200,5250
2023-07,Partnerships,Mid-Market,52,21,11,34000,654,3091
2023-07,Partnerships,SMB,42,11,6,16000,381,2667
2023-08,Sales,Enterprise,65,27,12,110000,1692,9167
2023-08,Sales,Mid-Market,98,36,20,95000,969,4750
2023-08,Sales,SMB,162,24,11,56000,346,5091
2023-08,Marketing,Enterprise,172,39,9,125000,727,13889
2023-08,Marketing,Mid-Market,358,61,28,98000,274,3500
2023-08,Marketing,SMB,555,98,38,68000,122,1789
2023-08,Partnerships,Enterprise,38,18,9,45000,1184,5000
2023-08,Partnerships,Mid-Market,56,24,12,37000,661,3083
2023-08,Partnerships,SMB,45,12,7,18000,400,2571
2023-09,Sales,Enterprise,72,31,14,118000,1639,8429
2023-09,Sales,Mid-Market,105,40,22,102000,971,4636
2023-09,Sales,SMB,175,27,12,60000,343,5000
2023-09,Marketing,Enterprise,188,44,11,135000,718,12273
2023-09,Marketing,Mid-Market,382,68,31,105000,275,3387
2023-09,Marketing,SMB,590,108,42,72000,122,1714
2023-09,Partnerships,Enterprise,42,21,10,48000,1143,4800
2023-09,Partnerships,Mid-Market,61,27,14,40000,656,2857
2023-09,Partnerships,SMB,48,14,8,20000,417,2500
2023-10,Sales,Enterprise,78,34,15,125000,1603,8333
2023-10,Sales,Mid-Market,112,44,24,108000,964,4500
2023-10,Sales,SMB,188,30,14,64000,340,4571
2023-10,Marketing,Enterprise,205,49,12,145000,707,12083
2023-10,Marketing,Mid-Market,405,75,34,112000,277,3294
2023-10,Marketing,SMB,625,118,45,76000,122,1689
2023-10,Partnerships,Enterprise,45,24,11,52000,1156,4727
2023-10,Partnerships,Mid-Market,65,30,15,43000,662,2867
2023-10,Partnerships,SMB,52,16,9,22000,423,2444
