employee_id,department,role_level,manager_id,hire_date,tenure_months,last_promotion,promotion_count,current_salary,performance_rating
EMP001,Engineering,Senior,MGR001,2019-03-15,58,2022-01-15,2,95000,3.2
EMP002,Engineering,Principal,MGR001,2018-06-01,68,2023-06-01,3,125000,4.1
EMP003,Sales,Mid,MGR002,2020-09-10,40,2023-03-10,1,75000,3.8
EMP004,Marketing,Senior,MGR003,2017-11-20,75,2024-11-20,2,85000,4.5
EMP005,Product,Junior,MGR004,2021-08-05,28,Never,0,65000,2.9
EMP006,Engineering,Mid,MGR001,2020-01-12,48,2022-07-12,1,80000,3.6
EMP007,Sales,Senior,MGR002,2019-05-18,56,2024-05-18,2,88000,4.2
EMP008,Marketing,Junior,MGR003,2022-02-28,22,Never,0,58000,3.4
EMP009,Product,Principal,MGR004,2016-12-03,86,2023-12-03,4,135000,4.3
EMP010,HR,Mid,MGR005,2020-11-07,38,2023-05-07,1,68000,3.7
EMP011,Finance,Senior,MGR006,2018-08-14,65,2022-08-14,2,78000,3.9
EMP012,Operations,Mid,MGR007,2021-04-22,32,Never,0,72000,3.3
EMP013,Engineering,Junior,MGR001,2022-09-11,15,Never,0,70000,3.5
EMP014,Sales,Mid,MGR002,2019-12-30,49,2022-12-30,1,82000,4.0
EMP015,Marketing,Senior,MGR003,2018-03-08,70,2021-03-08,3,92000,4.4
EMP016,Product,Mid,MGR004,2020-07-16,42,2023-01-16,1,79000,3.8
EMP017,HR,Senior,MGR005,2017-10-25,76,2020-10-25,2,75000,4.1
EMP018,Finance,Junior,MGR006,2021-11-13,26,Never,0,62000,3.2
EMP019,Operations,Senior,MGR007,2019-06-09,55,2022-06-09,2,84000,3.9
EMP020,Engineering,Mid,MGR001,2020-04-03,45,2023-04-03,1,77000,3.6
EMP021,Sales,Junior,MGR002,2022-01-17,23,Never,0,59000,3.1
EMP022,Marketing,Mid,MGR003,2019-09-22,52,2022-09-22,1,73000,3.7
EMP023,Product,Senior,MGR004,2018-07-11,66,2021-07-11,3,98000,4.2
EMP024,HR,Junior,MGR005,2021-12-06,25,Never,0,55000,3.4
EMP025,Finance,Mid,MGR006,2020-05-19,44,2023-11-19,1,71000,3.8
