team_id,voluntary_turnover_pct_2025,involuntary_turnover_pct_2025,internal_promotions_2025,external_hires_2025,avg_time_to_promotion_months,retention_risk_score,top_performer_retention_pct,promotion_rate_pct,internal_mobility_score,employee_referrals
T001,8,2,2,1,18,2.1,95,25,7.8,3
T002,22,8,0,4,28,4.2,70,0,4.2,0
T003,3,0,3,0,15,1.2,100,50,9.1,4
T004,12,3,1,2,21,2.8,88,10,6.9,2
T005,6,1,2,1,17,1.8,96,29,8.1,3
T006,28,12,0,6,35,4.8,65,0,3.8,0
T007,15,4,1,2,24,3.1,82,11,6.2,1
T008,9,2,2,1,19,2.3,92,25,7.5,2
T009,11,3,1,1,22,2.7,86,14,7.1,2
T010,4,0,2,0,16,1.4,100,40,8.7,3
T011,20,6,0,3,31,3.9,75,0,4.5,0
T012,2,0,3,0,14,1.0,100,50,9.3,5
T013,14,4,1,3,25,3.2,81,8,6.5,1
T014,7,1,2,1,18,2.0,94,25,7.9,3
T015,18,5,0,3,29,3.6,78,0,5.1,1
