practice_area,monthly_overhead_base,allocation_per_team_member,office_rent_allocation,technology_costs,admin_support
Strategy,45000,3500,0.25,0.15,0.20
Operations,52000,4200,0.30,0.20,0.25
Digital Transformation,48000,4800,0.20,0.35,0.15
Due Diligence,38000,2800,0.20,0.25,0.18
M&A Support,42000,3200,0.22,0.28,0.22
Market Entry,40000,3600,0.25,0.20,0.20
Supply Chain,46000,4000,0.28,0.22,0.25
Risk Management,41000,3400,0.24,0.26,0.21
Performance Improvement,49000,4100,0.27,0.23,0.24
Technology Implementation,55000,5200,0.18,0.40,0.16
Organizational Design,43000,3800,0.26,0.19,0.23
Process Improvement,47000,3900,0.29,0.21,0.24
Cost Reduction,44000,3700,0.27,0.18,0.26
