trial_id,day,sessions,features_used,time_spent_minutes,contacts_imported,deals_created,reports_viewed,integrations_setup,help_docs_accessed,mobile_usage_minutes
T001,1,3,8,45,150,5,2,1,3,15
T001,2,2,6,32,0,3,1,0,1,8
T001,3,4,12,67,75,8,4,2,2,22
T001,4,3,9,41,0,4,2,0,0,12
T001,5,5,15,89,200,12,6,3,4,31
T001,6,1,4,18,0,1,0,0,1,5
T001,7,0,0,0,0,0,0,0,0,0
T001,8,4,11,58,50,7,3,1,2,19
T001,9,3,8,39,0,5,2,0,1,14
T001,10,6,18,95,100,15,8,4,3,35
T001,11,2,5,25,0,2,1,0,1,8
T001,12,4,13,72,25,9,5,2,2,28
T001,13,3,7,34,0,3,1,0,0,11
T001,14,5,16,88,75,11,7,3,4,32
T002,1,2,5,28,45,2,1,0,4,9
T002,2,1,3,15,0,1,0,0,2,4
T002,3,3,7,41,30,4,2,1,3,16
T002,4,2,4,22,0,2,1,0,1,7
T002,5,4,9,56,60,6,3,2,5,21
T002,6,1,2,12,0,1,0,0,1,3
T002,7,0,0,0,0,0,0,0,0,0
T002,8,2,5,31,15,3,1,0,2,12
T002,9,3,6,38,0,4,2,1,2,15
T002,10,1,3,19,10,1,0,0,1,6
T002,11,2,4,26,0,2,1,0,1,8
T002,12,3,7,43,20,5,2,1,3,17
T002,13,1,2,14,0,1,0,0,0,4
T002,14,2,5,29,5,3,1,0,2,11
T003,1,4,10,62,120,8,3,2,2,25
T003,2,3,7,45,0,5,2,1,1,18
T003,3,5,13,78,80,11,5,3,3,31
T003,4,2,6,34,0,3,1,0,1,13
T003,5,6,16,94,150,14,7,4,4,38
T003,6,3,8,47,0,6,2,1,2,19
T003,7,1,3,21,0,1,0,0,0,7
T003,8,5,14,81,75,12,6,3,3,33
T003,9,4,11,65,0,8,4,2,2,26
T003,10,7,19,108,100,16,9,5,5,42
T003,11,3,9,52,0,7,3,1,2,21
T003,12,6,17,97,50,15,8,4,4,39
T003,13,4,12,69,0,9,5,2,3,28
T003,14,8,22,125,25,18,11,6,6,48
