customer_id,month,feature_api_calls,dashboard_views,report_exports,user_logins,data_storage_gb,integrations_used,mobile_app_usage_hours,collaboration_features_used,automation_workflows_created,support_articles_viewed
CUST-001,2025-04,15678,234,45,89,12.5,3,15.2,23,5,8
CUST-001,2025-05,18234,278,52,102,14.8,4,18.7,31,7,12
CUST-001,2025-06,21456,312,61,118,17.2,4,22.1,38,9,15
CUST-001,2025-07,24789,345,68,134,19.8,5,25.4,42,11,18
CUST-001,2025-08,28123,389,75,147,22.4,5,28.9,49,13,21
CUST-001,2025-09,31567,423,82,161,25.1,6,32.3,56,15,24
CUST-001,2025-10,35234,467,89,175,28.7,6,35.8,63,17,27
CUST-001,2025-11,38901,501,96,189,31.2,7,39.4,71,19,30
CUST-001,2025-12,42678,534,103,203,34.8,7,42.9,78,21,33
CUST-001,2026-01,46123,568,110,217,37.5,8,46.2,85,23,36
CUST-001,2026-02,49789,601,117,231,40.1,8,49.7,92,25,39
CUST-001,2026-03,53456,635,124,245,43.6,9,53.1,99,27,42
CUST-002,2025-04,8234,145,23,56,6.2,2,8.7,12,2,5
CUST-002,2025-05,8789,156,25,61,6.8,2,9.3,14,2,6
CUST-002,2025-06,9123,167,27,65,7.1,2,9.8,15,3,7
CUST-002,2025-07,9456,178,29,69,7.4,3,10.2,16,3,8
CUST-002,2025-08,9789,189,31,73,7.7,3,10.6,17,3,9
CUST-002,2025-09,10123,201,33,77,8.1,3,11.1,18,4,10
CUST-002,2025-10,10456,212,35,81,8.4,3,11.5,19,4,11
CUST-002,2025-11,10789,223,37,85,8.7,3,11.9,20,4,12
CUST-002,2025-12,11123,234,39,89,9.1,4,12.3,21,5,13
CUST-002,2026-01,11456,245,41,93,9.4,4,12.7,22,5,14
CUST-002,2026-02,11789,256,43,97,9.7,4,13.1,23,5,15
CUST-002,2026-03,12123,267,45,101,10.1,4,13.5,24,6,16
CUST-003,2025-04,45678,567,89,234,45.2,8,56.7,78,18,34
CUST-003,2025-05,52341,634,101,267,51.8,9,64.2,89,21,39
CUST-003,2025-06,58934,701,113,301,58.1,10,71.5,101,24,44
CUST-003,2025-07,65123,768,125,334,64.7,11,78.9,112,27,49
CUST-003,2025-08,71456,835,137,368,71.3,12,86.2,123,30,54
CUST-003,2025-09,77789,902,149,401,77.8,13,93.6,135,33,59
CUST-003,2025-10,84123,969,161,435,84.4,14,100.9,146,36,64
CUST-003,2025-11,90456,1036,173,468,91.1,15,108.3,157,39,69
CUST-003,2025-12,96789,1103,185,502,97.7,16,115.6,168,42,74
CUST-003,2026-01,103123,1170,197,535,104.3,17,123.0,179,45,79
CUST-003,2026-02,109456,1237,209,569,110.9,18,130.3,191,48,84
CUST-003,2026-03,115789,1304,221,602,117.6,19,137.7,202,51,89
CUST-004,2025-04,23456,289,56,145,23.7,5,28.9,34,8,16
CUST-004,2025-05,25123,312,61,156,25.8,5,31.2,37,9,18
CUST-004,2025-06,26789,335,66,167,27.9,6,33.5,40,10,20
CUST-004,2025-07,28456,358,71,178,30.1,6,35.8,43,11,22
CUST-004,2025-08,30123,381,76,189,32.2,7,38.1,46,12,24
CUST-004,2025-09,31789,404,81,201,34.3,7,40.4,49,13,26
CUST-004,2025-10,33456,427,86,212,36.4,8,42.7,52,14,28
CUST-004,2025-11,35123,450,91,223,38.5,8,45.0,55,15,30
CUST-004,2025-12,36789,473,96,234,40.6,9,47.3,58,16,32
CUST-004,2026-01,38456,496,101,245,42.7,9,49.6,61,17,34
CUST-004,2026-02,40123,519,106,256,44.8,10,51.9,64,18,36
CUST-004,2026-03,41789,542,111,267,46.9,10,54.2,67,19,38
CUST-005,2025-04,12789,156,31,78,12.1,3,14.5,18,4,9
CUST-005,2025-05,13456,167,33,84,13.2,3,15.6,19,5,10
CUST-005,2025-06,14123,178,35,89,14.3,4,16.7,21,5,11
CUST-005,2025-07,14789,189,37,95,15.4,4,17.8,22,6,12
CUST-005,2025-08,15456,201,39,101,16.5,4,18.9,24,6,13
CUST-005,2025-09,16123,212,41,106,17.6,5,20.1,25,7,14
CUST-005,2025-10,16789,223,43,112,18.7,5,21.2,27,7,15
CUST-005,2025-11,17456,234,45,118,19.8,5,22.3,28,8,16
CUST-005,2025-12,18123,245,47,123,20.9,6,23.4,30,8,17
CUST-005,2026-01,18789,256,49,129,22.1,6,24.5,31,9,18
CUST-005,2026-02,19456,267,51,135,23.2,6,25.6,33,9,19
CUST-005,2026-03,20123,278,53,140,24.3,7,26.7,34,10,20
