client_id,survey_date,overall_satisfaction,campaign_performance_rating,communication_rating,account_management_rating,value_rating,likelihood_to_recommend,open_feedback
C001,2025-01-15,7.2,7.5,7.0,7.8,6.9,7,"Good results but communication could be more proactive"
C002,2025-01-15,8.5,8.8,8.2,8.9,8.1,9,"Excellent service and results exceed expectations"
C003,2025-01-15,5.8,5.2,5.5,6.1,5.9,5,"Disappointed with recent performance decline"
C004,2025-01-15,6.9,6.5,7.2,7.1,6.8,6,"Solid but room for improvement in campaign optimization"
C005,2025-01-15,9.1,9.3,8.9,9.2,8.8,9,"Outstanding partnership, highly recommend"
C006,2025-01-15,5.2,4.8,4.9,5.5,5.4,4,"Poor ROI and slow response times concerning"
C007,2025-01-15,8.3,8.1,8.5,8.4,8.0,8,"Very satisfied with consistent results"
C008,2025-01-15,7.1,6.8,7.3,7.2,7.0,7,"Generally good but need better performance tracking"
C009,2025-01-15,7.8,7.6,7.9,8.1,7.5,8,"Good service, appreciate the attention to detail"
C010,2025-01-15,8.7,8.9,8.5,8.8,8.4,9,"Excellent results for our fitness center"
C011,2025-01-15,5.5,5.1,5.8,5.9,5.2,5,"Declining performance and poor communication"
C012,2025-01-15,8.4,8.2,8.6,8.5,8.1,8,"Strong performance and responsive team"
C013,2025-01-15,8.6,8.4,8.8,8.7,8.3,8,"Great results for our restaurant locations"
C014,2025-01-15,7.3,7.0,7.5,7.4,7.2,7,"Satisfactory but need more strategic insights"
C015,2025-01-15,7.6,7.4,7.7,7.8,7.3,7,"Good service for our dental practice"
C016,2025-01-15,8.8,9.0,8.6,8.9,8.5,9,"Exceptional results for our fashion brand"
C017,2025-01-15,5.9,5.5,5.8,6.2,6.1,5,"Below expectations, need better account management"
C018,2025-01-15,8.2,8.0,8.4,8.3,7.9,8,"Very pleased with seasonal campaign results"
C019,2025-01-15,8.9,9.1,8.7,9.0,8.6,9,"Outstanding ROI for our training business"
C020,2025-01-15,5.4,5.0,5.6,5.8,5.5,4,"Poor performance and lack of strategic direction"
C021,2025-01-15,7.7,7.5,7.8,7.9,7.4,7,"Good partnership with room for growth"
C022,2025-01-15,7.9,7.7,8.1,8.0,7.6,8,"Solid performance for our medical center"
C023,2025-01-15,8.1,7.9,8.3,8.2,7.8,8,"Happy with coffee shop marketing results"
C024,2025-01-15,7.0,6.7,7.2,7.1,6.9,6,"Good but margin pressure requires better efficiency"
C025,2025-01-15,5.7,5.3,5.9,6.0,5.8,5,"Struggling with lead quality and conversion rates"
