Month,Year,Total_Employees,Base_Salaries,Benefits,Payroll_Taxes,Equity_Compensation,Contractors,Total_Employee_Costs,Average_Salary,Headcount_Growth
January,2025,52,420000,84000,42000,25000,15000,586000,80769,0
February,2025,55,445000,89000,44500,28000,18000,624500,80909,3
March,2025,59,478000,95600,47800,32000,22000,675400,81000,4
April,2025,64,520000,104000,52000,38000,28000,742000,81250,5
May,2025,68,555000,111000,55500,42000,32000,795500,81618,4
June,2025,73,598000,119600,59800,48000,38000,863400,81892,5
July,2025,79,650000,130000,65000,55000,45000,945000,82278,6
August,2025,85,702000,140400,70200,62000,52000,1026600,82513,6
September,2025,92,762000,152400,76200,70000,60000,1120600,82681,7
October,2025,98,816000,163200,81600,78000,68000,1206800,82781,6
November,2025,105,878000,175600,87800,88000,78000,1307400,82961,7
December,2025,112,938000,187600,93800,98000,88000,1405400,83274,7
