matter_id,client_id,practice_area,attorney_id,matter_type,start_date,close_date,total_hours,hourly_rate,total_fees,expenses,total_billed,amount_collected,collection_rate,matter_size
M2024001,C001,Corporate,A101,M&A Transaction,2024-01-15,2024-06-30,450,650,292500,8500,301000,295000,0.98,Large
M2024002,C002,Litigation,A201,Commercial Dispute,2024-02-01,2024-08-15,320,550,176000,12000,188000,170000,0.90,Medium
M2024003,C003,Real Estate,A301,Property Acquisition,2024-01-10,2024-03-20,85,450,38250,2500,40750,40750,1.00,Small
M2024004,C004,Employment,A401,Wrongful Termination,2024-03-05,2024-07-10,180,475,85500,3200,88700,75000,0.85,Medium
M2024005,C001,Tax,A501,Tax Planning,2024-02-20,2024-12-15,95,525,49875,1200,51075,51075,1.00,Small
M2024006,C005,IP,A601,Patent Filing,2024-04-01,2024-09-30,140,600,84000,5000,89000,89000,1.00,Small
M2024007,C006,Healthcare,A701,Regulatory Compliance,2024-05-15,2024-11-20,220,500,110000,4500,114500,108000,0.94,Medium
M2024008,C007,Environmental,A801,Environmental Assessment,2024-06-01,2024-10-30,160,475,76000,6000,82000,70000,0.85,Medium
M2024009,C008,Corporate,A102,Contract Negotiation,2024-01-20,2024-04-15,65,575,37375,800,38175,38175,1.00,Small
M2024010,C009,Litigation,A202,Class Action Defense,2024-07-01,2024-12-20,580,525,304500,15000,319500,290000,0.91,Large
M2023001,C010,Corporate,A101,IPO Preparation,2023-01-10,2023-08-30,680,625,425000,18000,443000,435000,0.98,Large
M2023002,C002,Litigation,A201,Contract Dispute,2023-02-15,2023-06-20,245,525,128625,8500,137125,120000,0.88,Medium
M2023003,C011,Real Estate,A301,Commercial Lease,2023-03-01,2023-05-15,42,425,17850,1200,19050,19050,1.00,Small
M2023004,C012,Employment,A401,Discrimination Case,2023-04-10,2023-09-25,195,450,87750,4200,91950,78000,0.85,Medium
M2023005,C013,Tax,A501,Audit Defense,2023-05-20,2023-12-10,125,500,62500,2500,65000,65000,1.00,Small
M2023006,C014,IP,A601,Trademark Dispute,2023-06-15,2023-11-30,180,575,103500,6500,110000,105000,0.95,Medium
M2023007,C015,Healthcare,A701,HIPAA Compliance,2023-07-01,2023-10-15,95,475,45125,2000,47125,47125,1.00,Small
M2023008,C016,Environmental,A801,Site Remediation,2023-08-20,2024-02-28,340,450,153000,12000,165000,140000,0.85,Medium
M2023009,C001,Corporate,A103,Due Diligence,2023-09-10,2023-12-20,150,600,90000,3500,93500,93500,1.00,Small
M2023010,C017,Litigation,A203,Insurance Coverage,2023-10-05,2024-03-15,280,500,140000,9000,149000,135000,0.91,Medium
M2022001,C018,Corporate,A101,Merger Advisory,2022-01-15,2022-07-30,520,600,312000,14000,326000,320000,0.98,Large
M2022002,C019,Litigation,A201,Product Liability,2022-02-20,2022-08-10,380,500,190000,11000,201000,180000,0.90,Medium
M2022003,C020,Real Estate,A302,Development Project,2022-03-10,2022-09-30,220,400,88000,5500,93500,93500,1.00,Medium
M2022004,C021,Employment,A402,Executive Compensation,2022-04-05,2022-07-20,75,475,35625,1500,37125,37125,1.00,Small
M2022005,C022,Tax,A502,Tax Restructuring,2022-05-15,2022-11-30,185,475,87875,3200,91075,91075,1.00,Medium
M2022006,C023,IP,A601,Copyright Infringement,2022-06-01,2022-12-15,165,550,90750,7000,97750,92000,0.94,Medium
M2022007,C024,Healthcare,A702,Medical Malpractice,2022-07-10,2023-01-20,295,450,132750,8500,141250,125000,0.88,Medium
M2022008,C025,Environmental,A801,Permit Application,2022-08-15,2022-11-30,110,425,46750,3500,50250,50250,1.00,Small
M2022009,C026,Corporate,A104,Corporate Governance,2022-09-20,2022-12-30,85,575,48875,2000,50875,50875,1.00,Small
M2022010,C027,Litigation,A204,Securities Litigation,2022-10-01,2023-04-15,450,475,213750,13500,227250,205000,0.90,Large
