client_id,billing_date,service_type,hours_billed,hourly_rate,total_amount,payment_days,partner_involved
C001,2024-01-15,Tax Preparation,45,150,6750,32,Sarah Chen
C001,2023-04-20,Tax Preparation,52,145,7540,28,Sarah Chen
C001,2022-03-18,Tax Preparation,48,140,6720,35,Sarah Chen
C002,2024-02-10,Strategic Planning,78,250,19500,15,Michael Rodriguez
C002,2023-11-15,Financial Analysis,65,250,16250,18,Michael Rodriguez
C002,2023-06-22,Strategic Planning,92,240,22080,12,Michael Rodriguez
C003,2024-01-22,Tax Preparation,28,120,3360,45,David Kim
C003,2023-03-15,Tax Preparation,31,115,3565,52,David Kim
C003,2022-04-12,Tax Preparation,29,110,3190,48,David Kim
C004,2024-03-05,Annual Audit,125,180,22500,22,Sarah Chen
C004,2023-09-30,Quarterly Review,35,175,6125,25,Sarah Chen
C004,2023-03-20,Annual Audit,132,170,22440,20,Sarah Chen
C005,2024-01-30,Tax Preparation,25,110,2750,38,Jennifer Walsh
C005,2023-04-10,Tax Preparation,27,105,2835,42,Jennifer Walsh
C005,2022-03-25,Tax Preparation,24,100,2400,35,Jennifer Walsh
C006,2024-02-28,Investment Advisory,145,300,43500,8,Michael Rodriguez
C006,2023-12-15,Tax Strategy,87,290,25230,10,Michael Rodriguez
C006,2023-08-10,Investment Advisory,156,285,44460,7,Michael Rodriguez
C007,2024-03-12,Annual Audit,142,170,24140,18,David Kim
C007,2023-10-05,Quarterly Review,38,165,6270,21,David Kim
C007,2023-03-18,Annual Audit,148,160,23680,19,David Kim
C008,2024-02-20,Monthly Bookkeeping,15,85,1275,28,Jennifer Walsh
C008,2024-01-20,Monthly Bookkeeping,15,85,1275,31,Jennifer Walsh
C008,2023-12-20,Monthly Bookkeeping,14,80,1120,35,Jennifer Walsh
C009,2024-01-25,Tax Preparation,98,200,19600,12,Sarah Chen
C009,2023-04-15,Tax Preparation,105,195,20475,14,Sarah Chen
C009,2022-03-30,Tax Preparation,92,190,17480,15,Sarah Chen
C010,2024-02-15,Business Consulting,58,220,12760,25,Michael Rodriguez
C010,2023-11-20,Financial Planning,45,215,9675,28,Michael Rodriguez
C010,2023-06-18,Business Consulting,62,210,13020,22,Michael Rodriguez
C011,2024-03-20,Annual Audit,178,200,35600,16,David Kim
C011,2023-10-12,Quarterly Review,42,195,8190,18,David Kim
C011,2023-03-25,Annual Audit,185,190,35150,17,David Kim
C012,2024-01-18,Tax Preparation,38,135,5130,35,Jennifer Walsh
C012,2023-04-08,Tax Preparation,41,130,5330,38,Jennifer Walsh
C012,2022-03-22,Tax Preparation,36,125,4500,32,Jennifer Walsh
C013,2024-02-05,Payroll Processing,22,95,2090,42,Sarah Chen
C013,2024-01-05,Payroll Processing,21,95,1995,45,Sarah Chen
C013,2023-12-05,Payroll Processing,20,90,1800,48,Sarah Chen
C014,2024-02-25,Risk Management,89,275,24475,12,Michael Rodriguez
C014,2023-11-30,Insurance Analysis,76,270,20520,15,Michael Rodriguez
C014,2023-07-15,Risk Management,95,265,25175,11,Michael Rodriguez
C015,2024-02-12,Monthly Bookkeeping,18,80,1440,32,Jennifer Walsh
C015,2024-01-12,Monthly Bookkeeping,17,80,1360,35,Jennifer Walsh
C015,2023-12-12,Monthly Bookkeeping,16,75,1200,38,Jennifer Walsh
