trial_id,therapeutic_area,planned_duration_months,actual_duration_months,target_enrollment,actual_enrollment,enrollment_success_rate,primary_site_id,completion_date,budget_variance_pct,patient_retention_rate
HT001,Cardiology,12,16,300,287,95.7,SITE001,2023-12-15,-15.2,92.3
HT002,Oncology,18,24,250,201,80.4,SITE002,2024-01-20,-28.4,88.1
HT003,Neurology,15,19,180,178,98.9,SITE003,2023-11-30,-18.7,94.9
HT004,Endocrinology,10,12,200,195,97.5,SITE004,2023-10-10,-12.8,91.8
HT005,Dermatology,14,18,150,142,94.7,SITE007,2024-02-28,-22.1,89.4
HT006,Pulmonology,16,21,220,198,90.0,SITE008,2024-03-15,-25.3,87.6
HT007,Rheumatology,13,17,175,159,90.9,SITE005,2023-09-22,-19.6,90.2
HT008,Psychiatry,11,14,320,298,93.1,SITE006,2023-12-08,-16.4,85.7
HT009,Gastroenterology,12,15,195,189,96.9,SITE009,2024-01-12,-14.8,93.1
HT010,Ophthalmology,20,26,140,131,93.6,SITE010,2024-02-05,-23.7,91.6
HT011,Urology,14,18,185,172,93.0,SITE011,2023-11-18,-20.2,88.9
HT012,Metabolism,9,11,155,148,95.5,SITE015,2023-08-25,-13.1,92.7
HT013,Orthopedics,16,20,240,231,96.3,SITE016,2024-03-22,-17.9,90.8
HT014,Immunology,17,22,190,174,91.6,SITE017,2024-01-30,-22.8,89.1
HT015,Vascular Surgery,15,19,165,152,92.1,SITE018,2023-12-20,-19.4,87.3
HT016,Pain Management,12,16,280,267,95.4,SITE019,2024-02-14,-21.6,91.2
HT017,Respiratory,14,17,205,198,96.6,SITE021,2023-10-30,-15.7,93.8
HT018,Hepatology,13,16,225,212,94.2,SITE022,2023-11-25,-17.3,90.5
HT019,Cardiology,11,14,175,168,96.0,SITE001,2023-09-15,-16.2,92.9
HT020,Oncology,19,25,210,185,88.1,SITE014,2024-01-08,-26.7,86.4
HT021,Neurology,16,21,300,278,92.7,SITE003,2024-02-18,-24.1,91.7
HT022,Endocrinology,10,13,260,249,95.8,SITE012,2023-08-12,-18.5,93.4
HT023,Dermatology,12,15,145,138,95.2,SITE020,2023-10-05,-17.8,90.6
HT024,Pulmonology,15,19,220,203,92.3,SITE008,2023-12-30,-20.9,88.7
HT025,Rheumatology,14,18,200,186,93.0,SITE005,2024-01-25,-22.3,89.8
