Date,Opening_Balance,Operating_Cash_Flow,Investing_Cash_Flow,Financing_Cash_Flow,Net_Cash_Flow,Closing_Balance
2025-01-31,5200000,125000,-25000,0,100000,5300000
2025-02-28,5300000,180000,-30000,0,150000,5450000
2025-03-31,5450000,245000,-35000,0,210000,5660000
2025-04-30,5660000,320000,-40000,0,280000,5940000
2025-05-31,5940000,385000,-45000,0,340000,6280000
2025-06-30,6280000,450000,-50000,0,400000,6680000
2025-07-31,6680000,520000,-55000,0,465000,7145000
2025-08-31,7145000,590000,-60000,0,530000,7675000
2025-09-30,7675000,665000,-65000,0,600000,8275000
2025-10-31,8275000,735000,-70000,0,665000,8940000
2025-11-30,8940000,790000,-75000,0,715000,9655000
2025-12-31,9655000,850000,-80000,0,770000,10425000
