customer_id,delivery_id,overall_rating,delivery_time_rating,driver_courtesy_rating,package_condition_rating,communication_rating,feedback_date,complaint_category,satisfaction_score,would_recommend,comments
CUST001,DEL001,3,2,4,5,3,2025-10-15,Timeliness,6,No,"Package arrived late but driver was polite"
CUST002,DEL002,4,4,4,4,4,2025-10-15,None,8,Yes,"Good service overall"
CUST003,DEL003,5,5,5,5,4,2025-10-15,None,9.5,Yes,"Excellent delivery, very professional"
CUST004,DEL004,2,1,3,4,2,2025-10-15,Timeliness,4,No,"Very late delivery, poor communication"
CUST005,DEL005,4,5,4,4,4,2025-10-15,None,8.5,Yes,"On time and professional"
CUST006,DEL006,4,4,5,4,4,2025-10-16,None,8.2,Yes,"Driver was very courteous"
CUST007,DEL007,3,2,4,3,3,2025-10-16,Timeliness,6.5,Maybe,"Late but package condition was okay"
CUST008,DEL008,5,5,4,5,5,2025-10-16,None,9.5,Yes,"Perfect timing, great service"
CUST009,DEL009,2,1,4,5,2,2025-10-16,Timeliness,4.5,No,"Significantly delayed, no updates provided"
CUST010,DEL010,5,5,5,4,4,2025-10-16,None,9,Yes,"Early delivery, very happy"
CUST011,DEL011,4,4,4,5,4,2025-10-17,None,8.5,Yes,"Reliable service"
CUST012,DEL012,3,2,3,4,3,2025-10-17,Timeliness,6,Maybe,"Late delivery but acceptable service"
CUST013,DEL013,5,5,4,5,5,2025-10-17,None,9.5,Yes,"Exceptional service, ahead of schedule"
CUST014,DEL014,4,4,5,4,4,2025-10-17,None,8.2,Yes,"Professional and on time"
CUST015,DEL015,2,1,3,4,2,2025-10-17,Timeliness,4.2,No,"Poor timing and communication"
CUST016,DEL016,4,4,4,5,4,2025-10-18,None,8.2,Yes,"Good overall experience"
CUST017,DEL017,3,2,4,3,3,2025-10-18,Timeliness,6.2,Maybe,"Weather delayed but understandable"
CUST018,DEL018,5,5,5,5,4,2025-10-18,None,9.5,Yes,"Outstanding service"
CUST019,DEL019,3,2,4,4,3,2025-10-18,Timeliness,6.5,Maybe,"Moderate delay but good driver"
CUST020,DEL020,5,5,4,5,5,2025-10-18,None,9.2,Yes,"Excellent and early"
CUST021,DEL021,4,4,5,4,4,2025-10-19,None,8.5,Yes,"Very courteous driver"
CUST022,DEL022,2,1,3,5,2,2025-10-19,Timeliness,4.8,No,"Significant delay due to weather"
CUST023,DEL023,5,5,4,5,4,2025-10-19,None,9,Yes,"Perfect delivery"
CUST024,DEL024,4,4,4,4,5,2025-10-19,None,8.5,Yes,"Great communication throughout"
CUST025,DEL025,3,2,4,4,3,2025-10-19,Timeliness,6.8,Maybe,"Late but acceptable"
