case_id,case_type,practice_area,start_date,end_date,duration_months,total_billed,total_collected,billing_rate,lead_attorney,client_id,case_value,outcome,complexity_score
C2024-001,Personal Injury,Litigation,2024-01-15,2024-08-30,7.5,45000,43000,350,ATT-001,CLI-015,125000,Settlement,7
C2024-002,Divorce,Family Law,2024-02-01,2024-09-15,7.5,28000,25200,300,ATT-003,CLI-032,85000,Settled,5
C2024-003,Contract Dispute,Corporate,2024-01-10,2024-12-20,11.3,78000,78000,400,ATT-002,CLI-008,250000,Won,8
C2024-004,Child Custody,Family Law,2024-03-01,2024-06-30,4,18000,16200,275,ATT-004,CLI-041,0,Settled,4
C2024-005,M&A Transaction,Corporate,2024-02-15,2024-11-30,9.5,125000,125000,450,ATT-005,CLI-003,2500000,Completed,9
C2024-006,Employment Dispute,Litigation,2024-04-01,2024-10-15,6.5,32000,28800,325,ATT-006,CLI-019,75000,Settlement,6
C2024-007,Estate Planning,Family Law,2024-01-20,2024-03-30,2.3,8500,8500,250,ATT-007,CLI-051,150000,Completed,3
C2024-008,Breach of Contract,Litigation,2024-03-15,2024-11-01,7.5,56000,50400,375,ATT-001,CLI-027,180000,Won,7
C2024-009,Business Formation,Corporate,2024-05-01,2024-07-15,2.5,12000,12000,300,ATT-008,CLI-063,50000,Completed,2
C2024-010,Medical Malpractice,Litigation,2024-02-20,2025-01-30,11.3,89000,80100,400,ATT-009,CLI-012,450000,Pending,9
C2023-001,Product Liability,Litigation,2023-03-01,2023-12-15,9.5,67000,60300,350,ATT-001,CLI-022,300000,Settlement,8
C2023-002,Adoption,Family Law,2023-04-10,2023-08-20,4.3,15000,15000,275,ATT-003,CLI-038,0,Completed,4
C2023-003,Securities Litigation,Corporate,2023-01-15,2023-10-30,9.5,145000,145000,475,ATT-002,CLI-005,1800000,Won,10
C2023-004,DUI Defense,Litigation,2023-06-01,2023-09-30,4,22000,19800,300,ATT-010,CLI-047,0,Plea Deal,5
C2023-005,Real Estate Transaction,Corporate,2023-02-28,2023-05-15,2.5,18000,18000,325,ATT-005,CLI-013,750000,Completed,3
C2023-006,Wrongful Termination,Litigation,2023-07-15,2024-02-28,7.5,41000,36900,350,ATT-006,CLI-034,95000,Settlement,6
C2023-007,Prenuptial Agreement,Family Law,2023-09-01,2023-10-30,2,7500,7500,275,ATT-004,CLI-056,200000,Completed,2
C2023-008,IP Litigation,Litigation,2023-05-20,2024-01-15,8,98000,88200,425,ATT-011,CLI-018,500000,Settlement,9
C2023-009,Corporate Compliance,Corporate,2023-08-10,2024-03-20,7.3,54000,54000,375,ATT-008,CLI-029,120000,Completed,6
C2023-010,Personal Bankruptcy,Litigation,2023-10-01,2024-01-30,4,16000,14400,250,ATT-012,CLI-042,25000,Discharged,4
C2023-011,Class Action,Litigation,2023-01-20,2024-06-30,17.3,234000,210600,400,ATT-001,CLI-007,2000000,Settlement,10
C2023-012,Will Contest,Family Law,2023-11-15,2024-04-30,5.5,31000,27900,325,ATT-007,CLI-053,350000,Settled,7
C2023-013,Regulatory Compliance,Corporate,2023-04-05,2023-12-20,8.5,67000,67000,350,ATT-002,CLI-011,200000,Completed,5
C2023-014,Auto Accident,Litigation,2023-12-01,2024-05-15,5.5,33000,29700,300,ATT-009,CLI-039,110000,Settlement,5
C2023-015,Business Dissolution,Corporate,2023-06-20,2024-01-10,6.7,42000,37800,325,ATT-005,CLI-025,180000,Completed,6
C2022-001,Insurance Bad Faith,Litigation,2022-08-15,2023-05-30,9.5,76000,68400,375,ATT-001,CLI-014,400000,Won,8
C2022-002,Guardianship,Family Law,2022-11-01,2023-02-28,4,19000,19000,300,ATT-003,CLI-048,85000,Completed,4
C2022-003,Joint Venture,Corporate,2022-09-10,2023-04-15,7.2,89000,89000,425,ATT-002,CLI-006,1200000,Completed,7
C2022-004,Criminal Defense,Litigation,2022-12-05,2023-06-20,6.5,35000,31500,325,ATT-010,CLI-044,0,Acquitted,7
C2022-005,Tax Dispute,Corporate,2022-07-20,2023-03-10,7.7,58000,52200,350,ATT-008,CLI-016,150000,Settled,6
C2022-006,Construction Defect,Litigation,2022-10-15,2023-08-30,10.5,112000,100800,400,ATT-011,CLI-021,600000,Settlement,9
C2022-007,Modification of Support,Family Law,2022-12-20,2023-04-10,3.7,14000,12600,275,ATT-004,CLI-049,45000,Modified,3
C2022-008,Environmental Compliance,Corporate,2022-06-01,2023-01-15,7.5,73000,73000,400,ATT-005,CLI-009,300000,Completed,7
C2022-009,Slip and Fall,Litigation,2022-11-20,2023-07-05,7.5,28000,25200,250,ATT-012,CLI-035,65000,Settlement,4
C2022-010,Partnership Dispute,Corporate,2022-08-30,2023-06-15,9.5,95000,85500,375,ATT-002,CLI-017,450000,Mediated,8
