Month,Payroll,Office_Rent,Utilities,Technology,Professional_Services,Travel,Marketing,Insurance,Other_Operating,Total_Expenses,Seasonal_Factor
2024-01,485000,45000,12000,25000,18000,22000,15000,8500,19500,650000,1.05
2024-02,485000,45000,11000,25000,16000,18000,12000,8500,17500,638000,0.95
2024-03,485000,45000,13000,28000,22000,25000,18000,8500,21500,666000,1.08
2024-04,510000,45000,12000,25000,19000,28000,20000,8500,22500,690000,1.12
2024-05,510000,45000,14000,25000,21000,32000,22000,8500,24500,702000,1.15
2024-06,535000,45000,16000,25000,20000,35000,25000,8500,26500,736000,1.22
2024-07,560000,45000,18000,28000,18000,38000,28000,8500,28500,772000,1.28
2024-08,560000,45000,17000,25000,16000,35000,25000,8500,27500,759000,1.25
2024-09,535000,45000,15000,25000,19000,30000,22000,8500,25500,725000,1.18
2024-10,510000,45000,13000,25000,21000,25000,18000,8500,23500,689000,1.10
2024-11,485000,45000,12000,25000,18000,20000,15000,8500,21500,650000,1.02
2024-12,485000,45000,11000,28000,15000,18000,12000,8500,19500,642000,0.98
