Project_ID,Client_ID,Project_Name,Total_Value,Start_Date,End_Date,Completion_Percent,Billed_to_Date,Remaining_Billing,Next_Billing_Date,Billing_Frequency,Project_Status
PRJ001,CLI001,Digital Transformation,450000,2024-10-01,2025-03-31,45,202500,247500,2025-01-15,Monthly,Active
PRJ002,CLI002,Process Optimization,280000,2024-11-15,2025-05-15,25,70000,210000,2025-01-10,Quarterly,Active
PRJ003,CLI003,Market Analysis,165000,2024-12-01,2025-04-30,15,24750,140250,2025-01-20,Monthly,Active
PRJ004,CLI004,System Integration,680000,2024-09-01,2025-06-30,60,408000,272000,2025-01-05,Monthly,Active
PRJ005,CLI005,Financial Audit,95000,2025-01-01,2025-03-31,5,4750,90250,2025-02-01,Monthly,Active
PRJ006,CLI006,Legal Compliance,125000,2024-11-01,2025-02-28,70,87500,37500,2025-01-25,Monthly,Active
PRJ007,CLI007,Infrastructure Design,520000,2024-10-15,2025-08-15,35,182000,338000,2025-01-12,Monthly,Active
PRJ008,CLI008,Brand Strategy,85000,2025-01-15,2025-04-15,10,8500,76500,2025-02-15,Monthly,Planned
PRJ009,CLI009,Strategic Planning,195000,2024-12-01,2025-05-31,20,39000,156000,2025-01-30,Monthly,Active
PRJ010,CLI010,Energy Assessment,350000,2024-11-01,2025-07-31,30,105000,245000,2025-01-08,Monthly,Active
PRJ011,CLI013,Government Analytics,825000,2024-08-01,2025-12-31,50,412500,412500,2025-01-18,Monthly,Active
PRJ012,CLI018,Regulatory Compliance,420000,2024-10-01,2025-06-30,40,168000,252000,2025-01-22,Monthly,Active
PRJ013,CLI014,Tech Implementation,65000,2025-02-01,2025-05-31,0,0,65000,2025-03-01,Monthly,Planned
PRJ014,CLI015,Risk Assessment,145000,2024-12-15,2025-06-15,10,14500,130500,2025-02-10,Monthly,Active
PRJ015,CLI016,Supply Chain Optimization,240000,2024-11-01,2025-08-31,25,60000,180000,2025-01-15,Quarterly,Active
PRJ016,CLI017,Operations Review,110000,2025-01-01,2025-04-30,0,0,110000,2025-02-01,Monthly,Planned
PRJ017,CLI019,Sustainability Study,135000,2024-12-01,2025-07-31,15,20250,114750,2025-02-05,Monthly,Active
PRJ018,CLI020,Content Strategy,75000,2025-02-15,2025-06-15,0,0,75000,2025-03-15,Monthly,Planned
