claim_id,claim_type,filing_date,completion_date,processing_days,adjuster_id,complexity_score,claim_amount,customer_satisfaction,policy_premium,customer_age,policy_years,prior_claims,settlement_amount,fraud_flag
CLM001,Auto,2024-10-15,2024-11-08,24,ADJ003,7,15420,3.2,1850,34,2,1,14800,0
CLM002,Home,2024-10-16,2024-11-12,27,ADJ007,8,45600,2.8,2400,56,8,0,41200,0
CLM003,Commercial,2024-10-17,2024-11-25,39,ADJ012,9,185000,3.1,8500,42,12,3,172000,1
CLM004,Auto,2024-10-18,2024-10-29,11,ADJ001,4,8750,4.2,1200,28,1,0,8750,0
CLM005,Home,2024-10-19,2024-11-15,27,ADJ009,6,22300,3.5,1950,45,5,2,20100,0
CLM006,Auto,2024-10-20,2024-11-02,13,ADJ002,5,12800,4.1,1650,38,4,1,12800,0
CLM007,Commercial,2024-10-21,2024-12-18,58,ADJ011,10,320000,2.3,12000,51,15,2,295000,0
CLM008,Auto,2024-10-22,2024-11-05,14,ADJ003,3,6200,4.5,980,31,3,0,6200,0
CLM009,Home,2024-10-23,2024-11-20,28,ADJ008,7,38900,3.0,2800,62,11,1,35200,0
CLM010,Auto,2024-10-24,2024-11-10,17,ADJ004,6,18500,3.8,1750,29,2,2,17800,0
CLM011,Commercial,2024-10-25,2024-12-15,51,ADJ010,9,275000,2.9,9800,47,9,4,248000,1
CLM012,Home,2024-10-26,2024-11-18,23,ADJ006,5,16800,4.0,1450,39,6,0,16800,0
CLM013,Auto,2024-10-27,2024-11-08,12,ADJ001,4,9350,4.3,1100,35,2,1,9350,0
CLM014,Home,2024-10-28,2024-11-25,28,ADJ005,8,52700,3.2,3200,58,13,3,48500,0
CLM015,Auto,2024-10-29,2024-11-15,17,ADJ002,5,14200,3.9,1580,41,5,1,13900,0
CLM016,Commercial,2024-10-30,2024-12-20,51,ADJ012,10,412000,2.6,15500,44,7,1,385000,0
CLM017,Auto,2024-10-31,2024-11-12,12,ADJ004,3,7800,4.4,1320,26,1,0,7800,0
CLM018,Home,2024-11-01,2024-11-28,27,ADJ007,6,28400,3.6,2100,48,8,2,26200,0
CLM019,Auto,2024-11-02,2024-11-18,16,ADJ003,5,16750,3.7,1890,33,3,2,16200,0
CLM020,Commercial,2024-11-03,2024-12-28,55,ADJ011,9,298000,2.8,11200,52,14,5,275000,1
CLM021,Home,2024-11-04,2024-11-30,26,ADJ008,7,41200,3.3,2650,55,9,1,38800,0
CLM022,Auto,2024-11-05,2024-11-16,11,ADJ001,4,8950,4.1,1150,30,2,0,8950,0
CLM023,Home,2024-11-06,2024-12-02,26,ADJ006,6,19800,3.8,1680,42,7,1,19200,0
CLM024,Auto,2024-11-07,2024-11-22,15,ADJ002,5,13400,4.0,1470,36,4,1,13400,0
CLM025,Commercial,2024-11-08,2025-01-05,58,ADJ010,10,356000,2.4,13800,49,11,3,328000,0
CLM026,Auto,2024-11-09,2024-11-19,10,ADJ004,3,6750,4.6,890,27,1,0,6750,0
CLM027,Home,2024-11-10,2024-12-08,28,ADJ009,8,48300,3.1,2950,61,12,2,44100,0
CLM028,Auto,2024-11-11,2024-11-26,15,ADJ003,4,11200,4.2,1380,32,2,1,11200,0
CLM029,Commercial,2024-11-12,2025-01-12,61,ADJ012,9,285000,2.7,10500,46,8,4,262000,1
CLM030,Home,2024-11-13,2024-12-10,27,ADJ005,6,25600,3.7,1950,44,6,0,25100,0
CLM031,Auto,2024-11-14,2024-11-28,14,ADJ001,5,15800,3.9,1620,37,3,2,15300,0
CLM032,Home,2024-11-15,2024-12-12,27,ADJ007,7,36900,3.4,2480,53,10,1,34500,0
CLM033,Auto,2024-11-16,2024-11-30,14,ADJ002,4,9800,4.3,1250,29,2,0,9800,0
CLM034,Commercial,2024-11-17,2025-01-18,62,ADJ011,10,425000,2.5,16200,50,13,2,398000,0
CLM035,Auto,2024-11-18,2024-12-02,14,ADJ004,3,7200,4.5,1050,28,1,0,7200,0
CLM036,Home,2024-11-19,2024-12-16,27,ADJ008,6,21700,3.8,1750,40,5,1,21200,0
CLM037,Auto,2024-11-20,2024-12-05,15,ADJ003,5,14600,4.0,1520,34,3,1,14600,0
CLM038,Commercial,2024-11-21,2025-01-22,62,ADJ010,9,312000,2.9,12400,48,10,3,288000,1
CLM039,Home,2024-11-22,2024-12-18,26,ADJ006,7,43800,3.2,2850,59,11,2,40200,0
CLM040,Auto,2024-11-23,2024-12-08,15,ADJ001,4,10500,4.1,1340,31,2,1,10500,0
