Month,Year,Marketing_Spend,Sales_Spend,Total_CAC_Spend,New_Customers,CAC,LTV,LTV_CAC_Ratio,Payback_Period_Months,Channel_Digital,Channel_Sales,Channel_Referral,Channel_Other
January,2025,185000,155000,340000,45,7556,45000,5.96,8.5,25,12,6,2
February,2025,205000,163000,368000,52,7077,46000,6.50,7.8,30,14,6,2
March,2025,235000,185000,420000,58,7241,48000,6.63,7.2,34,16,6,2
April,2025,265000,207000,472000,62,7613,49000,6.44,7.8,36,18,6,2
May,2025,290000,226000,516000,65,7938,50000,6.30,8.2,38,19,6,2
June,2025,320000,248000,568000,72,7889,51000,6.46,7.9,42,21,7,2
July,2025,355000,277000,632000,78,8103,52000,6.42,8.1,45,23,8,2
August,2025,385000,303000,688000,82,8390,53000,6.32,8.3,47,25,8,2
September,2025,425000,331000,756000,88,8591,54000,6.28,8.5,50,27,9,2
October,2025,460000,360000,820000,92,8913,55000,6.17,8.8,52,29,9,2
November,2025,490000,382000,872000,96,9083,56000,6.17,8.9,54,31,9,2
December,2025,530000,410000,940000,102,9216,57000,6.19,8.7,58,32,10,2
