route_id,route_type,avg_ontime_rate_pct,avg_passenger_load_pct,cost_per_mile,revenue_per_mile,route_length_miles,daily_trips,peak_demand_hour,off_peak_demand_hour
R101,Bus,84,68,4.25,3.80,12.5,24,8,14
R102,Bus,78,52,4.80,3.20,15.2,20,7,13
R103,Bus,89,75,3.95,4.10,10.8,28,8,15
R104,Bus,82,65,4.35,3.75,13.7,22,9,16
R105,Bus,75,45,5.20,2.90,16.5,18,7,12
R106,Bus,91,78,3.85,4.25,11.2,30,8,14
R107,Bus,79,58,4.65,3.45,14.8,21,7,13
R108,Bus,93,82,3.70,4.40,9.5,32,9,15
R109,Bus,85,69,4.15,3.85,12.0,25,8,14
R110,Bus,76,48,5.10,3.05,17.2,19,6,11
R111,Bus,87,72,4.05,3.95,11.8,26,8,15
R112,Bus,80,55,4.55,3.30,14.5,20,7,12
R113,Bus,90,76,3.90,4.15,10.5,29,9,16
R114,Bus,83,66,4.30,3.70,13.2,23,8,14
R201,Light Rail,92,85,2.80,5.20,25.5,16,8,14
R202,Light Rail,89,78,3.10,4.85,22.8,18,7,13
R203,Light Rail,95,88,2.65,5.45,28.2,14,8,15
R204,Light Rail,86,72,3.35,4.50,20.5,20,9,16
R205,Light Rail,91,83,2.85,5.15,24.8,17,8,14
R206,Light Rail,83,69,3.25,4.20,21.5,19,7,12
P301,Paratransit,72,35,12.50,8.20,Variable,8,10,14
P302,Paratransit,68,32,13.20,7.85,Variable,6,11,15
P303,Paratransit,65,28,14.80,6.90,Variable,5,9,13
P304,Paratransit,75,38,11.90,8.45,Variable,9,10,16
P305,Paratransit,62,25,15.50,6.20,Variable,4,11,14
