complaint_id,date,tower_id,customer_id,complaint_type,severity,geographic_area,service_type,resolution_time_hours,satisfaction_rating
C001,2024-11-01,T002,CUST_4521,dropped_calls,high,downtown,voice,24.5,2
C002,2024-11-01,T004,CUST_7832,slow_data,critical,residential_north,data,48.2,1
C003,2024-11-01,T010,CUST_2156,no_service,critical,industrial_zone,voice,72.1,1
C004,2024-11-02,T002,CUST_9384,dropped_calls,medium,downtown,voice,18.3,3
C005,2024-11-02,T006,CUST_1547,slow_data,high,suburban_west,data,36.7,2
C006,2024-11-02,T008,CUST_6729,poor_quality,high,residential_south,voice,28.9,2
C007,2024-11-03,T004,CUST_3891,no_service,critical,residential_north,data,56.4,1
C008,2024-11-03,T010,CUST_5264,dropped_calls,critical,industrial_zone,voice,67.8,1
C009,2024-11-03,T012,CUST_8137,slow_data,medium,commercial_east,data,22.1,3
C010,2024-11-01,T008,CUST_4973,poor_quality,high,residential_south,voice,31.5,2
C011,2024-11-01,T006,CUST_7408,dropped_calls,medium,suburban_west,voice,19.7,3
C012,2024-11-02,T010,CUST_2685,no_service,critical,industrial_zone,data,84.2,1
C013,2024-11-02,T004,CUST_9152,slow_data,high,residential_north,data,42.3,2
C014,2024-11-03,T002,CUST_6594,dropped_calls,high,downtown,voice,26.8,2
C015,2024-11-01,T012,CUST_3817,poor_quality,medium,commercial_east,voice,15.2,4
C016,2024-11-02,T008,CUST_7263,dropped_calls,high,residential_south,voice,33.4,2
C017,2024-11-03,T006,CUST_4956,slow_data,high,suburban_west,data,38.9,2
C018,2024-11-01,T010,CUST_8521,no_service,critical,industrial_zone,voice,91.7,1
C019,2024-11-02,T002,CUST_1749,dropped_calls,medium,downtown,voice,21.6,3
C020,2024-11-03,T004,CUST_5382,poor_quality,high,residential_north,data,45.8,2
