response_id,customer_id,survey_date,nps_score,likelihood_recommend,overall_satisfaction,ease_of_use,customer_support_rating,value_for_money,comments
NPS-001,CUST-001,2026-03-15,8,8,4,4,5,"Great support team, very responsive"
NPS-002,CUST-002,2026-03-18,3,3,2,2,2,"Too many login issues, very frustrating"
NPS-003,CUST-003,2026-03-20,9,9,5,4,4,"Excellent platform, saves us hours daily"
NPS-004,CUST-004,2026-03-22,7,7,4,3,4,"Good overall, could use more training resources"
NPS-005,CUST-005,2026-03-25,2,2,1,2,2,"System is too slow, considering alternatives"
NPS-006,CUST-006,2026-03-28,8,8,4,4,4,"Very satisfied, great ROI for our practice"
NPS-007,CUST-007,2026-03-30,6,6,3,3,4,"Average experience, some features hard to find"
NPS-008,CUST-008,2026-04-01,9,9,5,4,5,"Outstanding platform, highly recommend"
NPS-009,CUST-009,2026-04-03,4,4,2,3,2,"Not meeting our expectations, needs improvement"
NPS-010,CUST-010,2026-04-05,8,8,4,4,4,"Solid platform, good customer service"
NPS-011,CUST-011,2026-02-15,5,5,3,3,3,"Okay but expected more advanced features"
NPS-012,CUST-012,2026-02-18,7,7,4,3,4,"Good value, works well for our needs"
NPS-013,CUST-013,2026-02-22,9,9,5,5,4,"Love the platform, very user-friendly"
NPS-014,CUST-014,2026-02-25,2,2,1,2,1,"Too many technical issues, poor support response"
NPS-015,CUST-015,2026-02-28,7,7,4,4,3,"Generally satisfied, some room for improvement"
NPS-016,CUST-016,2026-03-02,8,8,4,4,4,"Great product, helpful for patient management"
NPS-017,CUST-017,2026-03-05,6,6,3,3,3,"Meets basic needs but not exceptional"
NPS-018,CUST-018,2026-03-08,10,10,5,5,5,"Perfect solution for large practices like ours"
NPS-019,CUST-019,2026-03-10,7,7,4,3,4,"Good platform, would like more customization"
NPS-020,CUST-020,2026-03-12,6,6,3,4,3,"Decent but competitors offer better features"
