team_id,team_name,department,productivity_score,goal_achievement_pct,avg_cycle_time_days,sprint_velocity,defect_rate_pct,customer_satisfaction,revenue_impact_k
T001,Alpha Squad,Engineering,8.2,94,12,45,2.1,4.6,850
T002,Beta Force,Engineering,6.8,78,18,32,4.2,4.1,620
T003,Data Ninjas,Data Science,9.1,96,10,52,1.8,4.8,1200
T004,Cloud Warriors,DevOps,7.5,85,14,38,3.1,4.3,780
T005,Mobile Mavericks,Engineering,8.7,91,11,48,2.3,4.7,950
T006,Backend Builders,Engineering,5.9,72,22,28,5.1,3.8,480
T007,Frontend Foxes,Engineering,7.8,88,13,42,2.8,4.4,720
T008,QA Guardians,Quality,8.4,89,15,40,1.9,4.5,650
T009,Security Sentinels,Security,7.2,82,16,35,3.5,4.2,580
T010,Growth Hackers,Marketing,8.9,93,9,50,2.2,4.7,1100
T011,Content Creators,Marketing,6.5,76,19,30,4.0,3.9,520
T012,Sales Sharks,Sales,9.3,97,8,55,1.5,4.9,1400
T013,Customer Champions,Support,7.6,86,14,39,3.2,4.4,690
T014,Product Pioneers,Product,8.1,90,12,44,2.5,4.6,820
T015,Design Dreamers,Design,7.0,80,17,33,3.8,4.0,560
