ticket_id,customer_id,customer_segment,product_tier,created_date,resolved_date,agent_id,category,subcategory,priority,satisfaction_score,resolution_time_hours,conversation_length,title,description,resolution_notes
TKT-2024-001,CUST-4521,Enterprise,Premium,2024-09-15 09:23:00,2024-09-15 14:45:00,AGT-101,Technical,API Integration,High,4,5.4,8,API authentication failing after update,Customer reports 401 errors when making API calls after recent platform update. Using correct credentials but getting authentication failures.,Updated API documentation and provided new authentication method. Customer implemented successfully.
TKT-2024-002,CUST-7832,Mid-Market,Standard,2024-09-15 11:15:00,2024-09-17 16:30:00,AGT-203,Billing,Invoice Questions,Medium,2,53.3,12,Cannot understand billing calculation,Customer confused about usage-based billing charges on latest invoice. Multiple line items unclear.,Explained billing structure and provided detailed breakdown. Need better billing documentation.
TKT-2024-003,CUST-1234,SMB,Basic,2024-09-16 08:45:00,2024-09-16 10:20:00,AGT-105,Product,Feature Request,Low,5,1.6,4,Need export functionality for reports,Customer wants to export dashboard reports to PDF format. Current system only allows CSV export.,Showed workaround using print-to-PDF. Added feature request to product backlog.
TKT-2024-004,CUST-5667,Enterprise,Premium,2024-09-16 14:22:00,2024-09-18 11:15:00,AGT-101,Technical,Data Import,High,3,44.9,15,Bulk data import failing with large files,Enterprise customer cannot import CSV files larger than 50MB. Process times out or fails completely.,Increased timeout limits and provided chunking strategy. Need better documentation on data limits.
TKT-2024-005,CUST-9988,Mid-Market,Standard,2024-09-17 10:30:00,2024-09-17 15:45:00,AGT-204,Account,User Management,Medium,4,5.3,6,Cannot add new team members,Admin user unable to invite new team members. Invite button not working as expected.,Fixed permission issue and resent invites. Updated user management guide.
TKT-2024-006,CUST-3344,SMB,Basic,2024-09-17 13:12:00,2024-09-19 09:30:00,AGT-107,Billing,Payment Issues,High,2,44.3,18,Credit card payment keeps failing,Customer's valid credit card being declined repeatedly. No issues with card from their bank.,Updated payment processor settings and processed payment manually. Payment system needs improvement.
TKT-2024-007,CUST-6789,Enterprise,Premium,2024-09-18 09:45:00,2024-09-18 16:20:00,AGT-102,Product,Dashboard,Medium,4,6.6,7,Dashboard loading very slowly,Enterprise dashboard takes 2-3 minutes to load with large datasets. Performance is impacting daily workflow.,Optimized queries and added caching. Recommended data archiving strategy.
TKT-2024-008,CUST-2211,Mid-Market,Standard,2024-09-19 11:23:00,2024-09-20 14:15:00,AGT-205,Technical,Integration,Medium,3,26.9,11,Webhook not receiving all events,Customer's webhook endpoint missing some event notifications. Integration appears incomplete.,Fixed webhook configuration and resent missed events. Need better webhook documentation.
TKT-2024-009,CUST-8877,SMB,Basic,2024-09-20 08:15:00,2024-09-20 12:45:00,AGT-108,Product,Mobile App,Low,5,4.5,5,Mobile app not syncing with web version,Changes made in mobile app not appearing in web dashboard. Data sync issue.,Forced sync and resolved caching issue. Mobile sync working correctly now.
TKT-2024-010,CUST-4455,Enterprise,Premium,2024-09-20 15:30:00,2024-09-23 10:20:00,AGT-103,Security,SSO Setup,High,3,66.8,20,Single Sign-On configuration not working,Enterprise customer cannot get SAML SSO working with their identity provider. Multiple configuration attempts failed.,Worked with customer's IT team to configure SAML properly. Need better SSO setup guide.
