user_id,date,login_count,session_duration_minutes,features_used,page_views,actions_taken,device_type,signup_date,days_since_signup
U001,2024-11-01,3,45,dashboard|reports|analytics,23,15,desktop,2024-10-15,17
U002,2024-11-01,1,12,dashboard,5,3,mobile,2024-10-20,12
U003,2024-11-01,5,89,dashboard|reports|analytics|integrations|api,34,28,desktop,2024-09-01,61
U004,2024-11-01,2,23,dashboard|reports,12,8,desktop,2024-10-25,7
U005,2024-11-01,1,8,dashboard,4,2,mobile,2024-10-28,4
U006,2024-11-01,4,67,dashboard|reports|analytics|exports,28,22,desktop,2024-09-15,47
U007,2024-11-01,2,34,dashboard|reports|team_mgmt,15,11,desktop,2024-10-10,22
U008,2024-11-01,1,15,dashboard,7,4,tablet,2024-10-30,2
U009,2024-11-01,6,112,dashboard|reports|analytics|integrations|api|automations,45,38,desktop,2024-08-20,73
U010,2024-11-01,3,56,dashboard|reports|analytics|exports,25,19,desktop,2024-09-25,37
U011,2024-11-02,2,28,dashboard|reports,14,9,desktop,2024-10-18,15
U012,2024-11-02,1,9,dashboard,3,1,mobile,2024-10-31,2
U013,2024-11-02,4,78,dashboard|reports|analytics|team_mgmt,31,24,desktop,2024-08-30,64
U014,2024-11-02,2,19,dashboard|exports,9,6,desktop,2024-10-22,11
U015,2024-11-02,1,6,dashboard,2,1,mobile,2024-11-01,1
U016,2024-11-02,5,91,dashboard|reports|analytics|integrations|exports,38,31,desktop,2024-09-05,58
U017,2024-11-02,3,41,dashboard|reports|team_mgmt,19,14,desktop,2024-10-12,21
U018,2024-11-02,1,11,dashboard,5,3,tablet,2024-10-29,4
U019,2024-11-02,7,134,dashboard|reports|analytics|integrations|api|automations|team_mgmt,52,44,desktop,2024-08-15,79
U020,2024-11-02,2,33,dashboard|reports,16,12,desktop,2024-10-05,28
U021,2024-11-03,1,14,dashboard,6,4,mobile,2024-10-26,8
U022,2024-11-03,3,52,dashboard|reports|analytics,24,18,desktop,2024-09-10,54
U023,2024-11-03,2,25,dashboard|reports,13,10,desktop,2024-10-16,18
U024,2024-11-03,1,7,dashboard,3,2,mobile,2024-10-30,4
U025,2024-11-03,4,69,dashboard|reports|analytics|exports,29,23,desktop,2024-09-20,44
U026,2024-11-03,2,37,dashboard|reports|team_mgmt,17,13,desktop,2024-10-08,26
U027,2024-11-03,1,13,dashboard,6,3,tablet,2024-10-27,7
U028,2024-11-03,5,98,dashboard|reports|analytics|integrations|api,41,33,desktop,2024-08-25,70
U029,2024-11-03,3,47,dashboard|reports|analytics,22,16,desktop,2024-09-28,36
U030,2024-11-03,1,10,dashboard,4,2,mobile,2024-10-31,3
U031,2024-11-04,2,31,dashboard|reports,15,11,desktop,2024-10-14,21
U032,2024-11-04,1,8,dashboard,3,1,mobile,2024-10-29,6
U033,2024-11-04,6,105,dashboard|reports|analytics|integrations|api|automations,43,36,desktop,2024-08-18,78
U034,2024-11-04,3,44,dashboard|reports|analytics,21,15,desktop,2024-09-12,53
U035,2024-11-04,2,22,dashboard|exports,11,7,desktop,2024-10-21,14
U036,2024-11-04,1,12,dashboard,5,3,tablet,2024-10-28,7
U037,2024-11-04,4,73,dashboard|reports|analytics|team_mgmt,32,25,desktop,2024-09-03,62
U038,2024-11-04,2,29,dashboard|reports,14,10,desktop,2024-10-11,24
U039,2024-11-04,1,9,dashboard,4,2,mobile,2024-10-30,5
U040,2024-11-04,5,87,dashboard|reports|analytics|integrations,36,29,desktop,2024-08-28,68
U041,2024-11-05,3,49,dashboard|reports|analytics,23,17,desktop,2024-09-22,44
U042,2024-11-05,1,11,dashboard,5,3,mobile,2024-10-25,11
U043,2024-11-05,4,76,dashboard|reports|analytics|exports,33,26,desktop,2024-09-07,59
U044,2024-11-05,2,26,dashboard|reports,12,9,desktop,2024-10-17,19
U045,2024-11-05,1,6,dashboard,2,1,mobile,2024-11-02,3
U046,2024-11-05,7,128,dashboard|reports|analytics|integrations|api|automations|team_mgmt,49,42,desktop,2024-08-12,85
U047,2024-11-05,3,42,dashboard|reports|team_mgmt,20,14,desktop,2024-10-09,27
U048,2024-11-05,2,18,dashboard|reports,8,6,tablet,2024-10-23,13
U049,2024-11-05,5,94,dashboard|reports|analytics|integrations|api,39,32,desktop,2024-08-22,75
U050,2024-11-05,1,13,dashboard,6,4,mobile,2024-10-26,10
