installation_id,date,avg_temp_celsius,solar_irradiance_kwh_m2,wind_speed_ms,humidity_percent,cloud_cover_percent
SF001,2025-01-01,18.5,5.2,3.4,65,25
SF001,2025-01-02,19.8,5.8,2.9,62,15
SF001,2025-01-03,17.2,4.9,4.1,68,35
SF001,2025-01-04,16.3,4.5,3.8,71,45
SF001,2025-01-05,20.1,6.1,2.7,59,10
SF002,2025-01-01,22.4,5.8,2.1,45,20
SF002,2025-01-02,24.1,6.2,1.8,42,12
SF002,2025-01-03,25.3,6.5,2.3,38,8
SF002,2025-01-04,23.7,5.9,2.6,47,18
SF002,2025-01-05,26.8,6.8,1.5,35,5
SF003,2025-01-01,15.6,4.8,4.2,72,30
SF003,2025-01-02,17.9,5.4,3.7,68,22
SF003,2025-01-03,13.8,4.2,5.1,78,42
SF003,2025-01-04,16.2,4.9,4.5,71,28
SF003,2025-01-05,18.7,5.7,3.2,64,18
SF004,2025-01-01,21.3,5.7,2.8,48,22
SF004,2025-01-02,23.6,6.1,2.4,44,16
SF004,2025-01-03,19.8,5.3,3.2,52,28
SF004,2025-01-04,18.4,4.9,3.6,56,38
SF004,2025-01-05,24.9,6.4,2.1,41,12
SF005,2025-01-01,19.7,5.5,3.1,63,24
SF005,2025-01-02,18.4,5.2,3.5,66,32
SF005,2025-01-03,21.2,5.9,2.8,58,19
SF005,2025-01-04,17.8,4.8,3.8,69,36
SF005,2025-01-05,22.5,6.2,2.5,55,14
SF006,2025-01-01,8.3,4.5,6.2,58,35
SF006,2025-01-02,6.7,4.1,7.1,62,42
SF006,2025-01-03,10.1,4.8,5.8,54,28
SF006,2025-01-04,5.9,3.9,7.5,65,48
SF006,2025-01-05,11.4,5.1,5.2,51,22
SF007,2025-01-01,14.2,5.1,4.8,55,32
SF007,2025-01-02,16.8,5.6,4.2,49,25
SF007,2025-01-03,12.7,4.7,5.4,61,38
SF007,2025-01-04,15.3,5.3,4.7,53,29
SF007,2025-01-05,17.9,5.9,3.9,46,21
SF008,2025-01-01,11.6,4.6,5.5,52,33
SF008,2025-01-02,13.4,5.0,4.9,48,26
SF008,2025-01-03,9.8,4.2,6.2,57,41
SF008,2025-01-04,12.1,4.7,5.8,51,34
SF008,2025-01-05,14.7,5.3,4.6,45,23
SF009,2025-01-01,23.8,5.9,2.5,43,21
SF009,2025-01-02,25.4,6.3,2.1,39,15
SF009,2025-01-03,22.1,5.6,2.9,47,26
SF009,2025-01-04,21.3,5.4,3.2,49,31
SF009,2025-01-05,26.7,6.6,1.8,36,11
SF010,2025-01-01,24.3,5.1,3.8,78,45
SF010,2025-01-02,25.8,5.4,3.4,75,38
SF010,2025-01-03,23.1,4.8,4.2,82,52
SF010,2025-01-04,26.4,5.7,3.1,72,35
SF010,2025-01-05,27.1,5.9,2.9,69,28
