competitor_name,strategy_consulting,operations_improvement,digital_transformation,change_management,financial_advisory,market_research,overall_capability_score,market_presence,team_size,geographic_reach
McKinsey & Company,9.5,9.2,9.0,8.8,8.5,9.1,9.02,Global,30000,Worldwide
Boston Consulting Group,9.2,8.8,9.3,8.5,8.2,8.9,8.82,Global,25000,Worldwide
Bain & Company,9.0,8.5,8.2,9.0,8.8,9.2,8.78,Global,15000,Worldwide
Deloitte Consulting,8.5,9.0,9.5,8.2,9.2,8.3,8.78,Global,50000,Worldwide
PwC Consulting,8.2,8.8,9.2,8.0,9.5,8.1,8.63,Global,45000,Worldwide
EY Consulting,8.0,8.5,9.0,7.8,9.3,7.9,8.42,Global,42000,Worldwide
KPMG Advisory,7.5,8.2,8.5,7.5,9.0,7.8,8.08,Global,35000,Worldwide
Accenture Strategy,8.8,8.0,9.8,8.3,7.5,8.2,8.43,Global,55000,Worldwide
Oliver Wyman,8.5,8.3,7.2,8.0,8.8,8.5,8.22,Regional,5000,North America/Europe
Roland Berger,8.0,7.8,7.5,8.2,7.9,8.3,7.95,Regional,2500,Europe/Asia
L.E.K. Consulting,7.8,7.2,6.8,7.5,8.2,9.0,7.75,Regional,1800,Global
ZS Associates,6.5,7.0,8.0,7.2,6.8,9.5,7.50,Specialized,7000,Global
