customer_id,transaction_date,transaction_type,plan_type,mrr_amount,arr_amount,billing_period,payment_status,transaction_id
CUST_001,2024-01-15,new_subscription,professional,299,3588,monthly,completed,TXN_20240115_001
CUST_001,2024-02-15,renewal,professional,299,3588,monthly,completed,TXN_20240215_001
CUST_001,2024-07-15,upgrade,enterprise,599,7188,monthly,completed,TXN_20240715_001
CUST_002,2024-01-22,new_subscription,starter,99,1188,monthly,completed,TXN_20240122_002
CUST_002,2024-02-22,renewal,starter,99,1188,monthly,completed,TXN_20240222_002
CUST_002,2024-05-22,upgrade,professional,299,3588,monthly,completed,TXN_20240522_002
CUST_003,2024-02-01,new_subscription,enterprise,599,7188,monthly,completed,TXN_20240201_003
CUST_003,2024-03-01,renewal,enterprise,599,7188,monthly,completed,TXN_20240301_003
CUST_003,2024-08-01,churn,enterprise,0,0,monthly,cancelled,TXN_20240801_003
CUST_004,2024-02-10,new_subscription,professional,299,3588,monthly,completed,TXN_20240210_004
CUST_004,2024-03-10,renewal,professional,299,3588,monthly,completed,TXN_20240310_004
CUST_005,2024-02-28,new_subscription,starter,99,1188,monthly,completed,TXN_20240228_005
CUST_005,2024-03-28,renewal,starter,99,1188,monthly,completed,TXN_20240328_005
CUST_005,2024-09-28,churn,starter,0,0,monthly,cancelled,TXN_20240928_005
CUST_006,2024-03-05,new_subscription,enterprise,1199,14388,monthly,completed,TXN_20240305_006
CUST_006,2024-04-05,renewal,enterprise,1199,14388,monthly,completed,TXN_20240405_006
CUST_007,2024-03-12,new_subscription,professional,299,3588,monthly,completed,TXN_20240312_007
CUST_007,2024-04-12,renewal,professional,299,3588,monthly,completed,TXN_20240412_007
CUST_008,2024-03-20,new_subscription,starter,99,1188,monthly,completed,TXN_20240320_008
CUST_008,2024-04-20,renewal,starter,99,1188,monthly,completed,TXN_20240420_008
CUST_008,2024-06-20,upgrade,professional,299,3588,monthly,completed,TXN_20240620_008
CUST_009,2024-04-01,new_subscription,enterprise,599,7188,monthly,completed,TXN_20240401_009
CUST_009,2024-05-01,renewal,enterprise,599,7188,monthly,completed,TXN_20240501_009
CUST_010,2024-04-15,new_subscription,professional,299,3588,monthly,completed,TXN_20240415_010
CUST_010,2024-05-15,renewal,professional,299,3588,monthly,completed,TXN_20240515_010
CUST_011,2024-05-01,new_subscription,starter,99,1188,monthly,completed,TXN_20240501_011
CUST_011,2024-06-01,renewal,starter,99,1188,monthly,completed,TXN_20240601_011
CUST_012,2024-05-10,new_subscription,enterprise,1199,14388,monthly,completed,TXN_20240510_012
CUST_012,2024-06-10,renewal,enterprise,1199,14388,monthly,completed,TXN_20240610_012
CUST_013,2024-06-01,new_subscription,professional,299,3588,monthly,completed,TXN_20240601_013
CUST_013,2024-07-01,renewal,professional,299,3588,monthly,completed,TXN_20240701_013
CUST_014,2024-06-15,new_subscription,starter,99,1188,monthly,completed,TXN_20240615_014
CUST_014,2024-07-15,renewal,starter,99,1188,monthly,completed,TXN_20240715_014
CUST_014,2024-10-15,churn,starter,0,0,monthly,cancelled,TXN_20241015_014
CUST_015,2024-07-01,new_subscription,enterprise,599,7188,monthly,completed,TXN_20240701_015
CUST_015,2024-08-01,renewal,enterprise,599,7188,monthly,completed,TXN_20240801_015
CUST_016,2024-07-20,new_subscription,professional,299,3588,monthly,completed,TXN_20240720_016
CUST_016,2024-08-20,renewal,professional,299,3588,monthly,completed,TXN_20240820_016
CUST_017,2024-08-01,new_subscription,starter,99,1188,monthly,completed,TXN_20240801_017
CUST_017,2024-09-01,renewal,starter,99,1188,monthly,completed,TXN_20240901_017
CUST_018,2024-08-15,new_subscription,enterprise,1199,14388,monthly,completed,TXN_20240815_018
CUST_018,2024-09-15,renewal,enterprise,1199,14388,monthly,completed,TXN_20240915_018
CUST_019,2024-09-01,new_subscription,professional,299,3588,monthly,completed,TXN_20240901_019
CUST_019,2024-10-01,renewal,professional,299,3588,monthly,completed,TXN_20241001_019
CUST_020,2024-09-10,new_subscription,starter,99,1188,monthly,completed,TXN_20240910_020
CUST_020,2024-10-10,renewal,starter,99,1188,monthly,completed,TXN_20241010_020
