facility,date,product_line,product_code,planned_quantity,actual_quantity,start_time,end_time,machine_id,operator_count,overtime_hours,setup_time_minutes,downtime_minutes,batch_size,quality_defects
Facility_A,2024-11-01,Frozen_Entrees,FE001,2500,2480,06:00,14:30,M_A_001,4,2.5,45,15,500,12
Facility_A,2024-11-01,Frozen_Entrees,FE003,1800,1850,15:00,22:00,M_A_002,3,1.0,30,0,300,8
Facility_A,2024-11-02,Bakery,BK002,3200,3150,06:00,13:45,M_A_003,5,0.0,60,25,400,5
Facility_A,2024-11-02,Dairy,DA001,1500,1520,14:30,21:15,M_A_001,3,1.5,25,10,250,3
Facility_A,2024-11-03,Snacks,SN004,4200,4180,06:00,16:30,M_A_004,6,4.0,40,35,600,18
Facility_B,2024-11-01,Beverages,BV001,3500,3450,06:00,15:20,M_B_001,4,3.5,50,20,500,7
Facility_B,2024-11-01,Frozen_Entrees,FE002,2200,2180,16:00,23:30,M_B_002,4,1.5,35,5,400,9
Facility_B,2024-11-02,Snacks,SN001,3800,3820,06:00,14:45,M_B_003,5,2.0,45,15,500,11
Facility_B,2024-11-02,Dairy,DA003,1200,1190,15:30,22:00,M_B_001,2,0.5,20,8,200,2
Facility_B,2024-11-03,Bakery,BK001,2800,2750,06:00,13:30,M_B_004,4,0.0,55,30,350,6
Facility_C,2024-11-01,Condiments,CD001,1800,1790,06:00,12:30,M_C_001,2,0.0,30,12,300,4
Facility_C,2024-11-01,Beverages,BV003,2500,2520,13:00,20:45,M_C_002,3,2.5,40,18,400,8
Facility_C,2024-11-02,Frozen_Entrees,FE004,1600,1580,06:00,13:15,M_C_003,3,1.0,35,22,250,7
Facility_C,2024-11-02,Condiments,CD002,2200,2180,14:00,21:30,M_C_001,3,1.5,25,8,350,5
Facility_C,2024-11-03,Snacks,SN003,3600,3580,06:00,15:45,M_C_004,5,3.5,50,28,500,14
Facility_A,2024-11-04,Dairy,DA002,1800,1780,06:00,13:00,M_A_002,3,0.0,30,15,300,6
Facility_A,2024-11-04,Bakery,BK003,2400,2420,14:00,21:15,M_A_003,4,1.5,45,10,350,4
Facility_A,2024-11-05,Beverages,BV002,3000,2980,06:00,14:30,M_A_001,4,2.0,35,20,450,9
Facility_B,2024-11-04,Snacks,SN002,4000,3950,06:00,16:00,M_B_003,6,4.0,40,25,550,16
Facility_B,2024-11-05,Condiments,CD003,1400,1420,06:00,11:45,M_B_001,2,0.0,25,5,250,3
Facility_C,2024-11-04,Frozen_Entrees,FE001,2000,1980,06:00,13:45,M_C_003,4,1.0,40,18,350,8
Facility_C,2024-11-05,Beverages,BV001,2800,2790,06:00,14:00,M_C_002,4,2.0,45,15,400,7
Facility_A,2024-11-06,Condiments,CD004,1600,1590,06:00,12:15,M_A_004,2,0.0,30,20,280,5
Facility_A,2024-11-06,Snacks,SN005,3400,3380,13:00,21:30,M_A_001,5,2.5,50,30,480,12
Facility_B,2024-11-06,Dairy,DA001,1700,1680,06:00,12:45,M_B_002,3,0.5,25,12,300,4
Facility_B,2024-11-06,Bakery,BK002,2600,2580,14:00,21:00,M_B_004,4,1.0,60,22,380,8
Facility_C,2024-11-06,Beverages,BV004,2200,2180,06:00,12:30,M_C_001,3,0.0,35,8,350,6
Facility_C,2024-11-06,Frozen_Entrees,FE002,1900,1890,13:30,20:15,M_C_003,3,1.5,30,15,320,7
