customer_id,month,active_users,feature_adoption_score,api_calls,storage_gb,session_duration_avg,login_frequency,mobile_usage_pct,integration_count
CUST_001,2024-01,12,0.75,15420,4.2,28.5,18,35,3
CUST_001,2024-02,14,0.78,16890,4.8,31.2,22,38,3
CUST_001,2024-03,16,0.82,18750,5.1,29.8,25,42,4
CUST_001,2024-04,18,0.85,21300,5.9,33.1,28,45,4
CUST_001,2024-05,19,0.88,23100,6.2,35.4,30,48,5
CUST_001,2024-06,21,0.91,25600,6.8,38.7,32,52,5
CUST_001,2024-07,24,0.93,28900,7.5,41.2,35,55,6
CUST_001,2024-08,26,0.95,31200,8.1,43.8,38,58,6
CUST_002,2024-01,3,0.45,2150,0.8,15.2,8,25,1
CUST_002,2024-02,4,0.48,2380,1.1,16.8,10,28,1
CUST_002,2024-03,4,0.52,2650,1.3,18.5,12,31,2
CUST_002,2024-04,5,0.55,2890,1.5,19.8,14,34,2
CUST_002,2024-05,7,0.68,4250,2.1,24.6,18,39,3
CUST_002,2024-06,8,0.71,4850,2.4,26.8,21,42,3
CUST_003,2024-02,45,0.88,52000,18.5,45.2,85,62,12
CUST_003,2024-03,48,0.91,55600,19.8,47.8,92,65,13
CUST_003,2024-04,52,0.93,59200,21.2,49.5,98,68,14
CUST_003,2024-05,55,0.95,62800,22.7,51.2,105,71,15
CUST_003,2024-06,58,0.97,66400,24.1,53.8,112,74,16
CUST_003,2024-07,42,0.89,48600,18.9,38.2,78,58,11
CUST_004,2024-02,8,0.62,6850,2.8,22.4,16,36,2
CUST_004,2024-03,9,0.65,7420,3.1,24.1,18,39,3
CUST_004,2024-04,11,0.68,8150,3.5,25.8,21,42,3
CUST_005,2024-02,2,0.38,1250,0.5,12.3,5,18,0
CUST_005,2024-03,2,0.41,1380,0.6,13.8,6,21,1
CUST_005,2024-04,2,0.35,1180,0.4,11.2,4,15,0
CUST_005,2024-05,1,0.32,890,0.3,9.8,3,12,0
CUST_006,2024-03,78,0.92,89500,35.2,52.8,145,68,18
CUST_006,2024-04,82,0.94,94200,37.8,54.6,152,71,19
CUST_006,2024-05,85,0.96,98800,39.5,56.2,158,74,20
CUST_007,2024-03,11,0.58,7200,3.2,21.5,15,33,2
CUST_007,2024-04,12,0.61,7850,3.6,23.1,17,36,3
CUST_008,2024-03,4,0.42,2850,1.2,14.8,9,26,1
CUST_008,2024-04,4,0.45,3150,1.4,16.2,11,29,1
CUST_008,2024-05,5,0.48,3420,1.6,17.8,13,32,2
CUST_008,2024-06,7,0.62,5280,2.3,22.5,18,37,3
CUST_009,2024-04,32,0.81,38500,14.2,38.9,65,56,9
CUST_009,2024-05,35,0.84,42100,15.8,41.2,72,59,10
CUST_010,2024-04,9,0.55,6850,2.9,20.4,14,31,2
CUST_010,2024-05,10,0.58,7420,3.2,22.1,16,34,3
