loan_id,origination_date,loan_amount,loan_type,borrower_id,credit_score_orig,dti_ratio_orig,ltv_ratio,term_months,interest_rate,current_status,default_date,days_past_due,current_balance,industry_code,geography,collateral_value
L2024001,2024-01-15,250000,Commercial,B001,720,0.35,0.8,60,6.5,Current,,0,225000,RETAIL,Metro_North,312500
L2024002,2024-01-22,45000,Personal,B002,680,0.42,0.0,36,8.2,Current,,0,38500,TECH,Suburban_East,0
L2024003,2024-02-01,180000,Mortgage,B003,740,0.28,0.75,360,4.8,Current,,0,177500,HEALTHCARE,Metro_South,240000
L2024004,2024-02-05,75000,Commercial,B004,650,0.48,0.85,48,7.8,Defaulted,2024-11-15,45,68000,RESTAURANT,Rural_West,88235
L2024005,2024-02-12,320000,Mortgage,B005,760,0.25,0.7,360,4.6,Current,,0,318000,FINANCE,Metro_North,457143
L2024006,2024-02-20,25000,Personal,B006,590,0.55,0.0,24,12.5,Defaulted,2024-10-12,78,22000,RETAIL,Suburban_West,0
L2024007,2024-03-01,150000,Commercial,B007,700,0.38,0.8,60,6.8,30-Days,,,135000,MANUFACTURING,Metro_East,187500
L2024008,2024-03-10,95000,Auto,B008,720,0.32,0.9,72,5.2,Current,,0,89000,TECH,Suburban_North,105556
L2024009,2024-03-15,280000,Mortgage,B009,710,0.33,0.78,360,4.9,Current,,0,276500,EDUCATION,Metro_South,358974
L2024010,2024-03-22,60000,Commercial,B010,640,0.52,0.82,36,8.5,60-Days,,,54000,HEALTHCARE,Rural_East,73171
L2024011,2024-04-02,35000,Personal,B011,670,0.44,0.0,48,9.1,Current,,0,31000,RETAIL,Suburban_East,0
L2024012,2024-04-08,420000,Commercial,B012,780,0.22,0.65,84,5.8,Current,,0,405000,TECH,Metro_North,646154
L2024013,2024-04-15,190000,Mortgage,B013,690,0.41,0.82,360,5.1,Current,,0,187500,MANUFACTURING,Metro_West,231707
L2024014,2024-04-25,85000,Auto,B014,660,0.39,0.88,60,6.8,90-Days,,,78000,RESTAURANT,Suburban_South,96591
L2024015,2024-05-05,125000,Commercial,B015,710,0.36,0.75,48,7.2,Current,,0,118000,HEALTHCARE,Metro_East,166667
L2024016,2024-05-12,55000,Personal,B016,620,0.58,0.0,36,11.8,Defaulted,2024-12-20,35,48000,RETAIL,Rural_North,0
L2024017,2024-05-20,350000,Mortgage,B017,750,0.29,0.72,360,4.7,Current,,0,347000,FINANCE,Metro_North,486111
L2024018,2024-06-01,90000,Commercial,B018,680,0.43,0.83,60,7.5,Current,,0,82000,EDUCATION,Suburban_West,108434
L2024019,2024-06-10,40000,Auto,B019,700,0.35,0.85,48,5.9,Current,,0,36500,TECH,Metro_South,47059
L2024020,2024-06-18,220000,Mortgage,B020,720,0.31,0.79,360,4.85,30-Days,,,217000,HEALTHCARE,Suburban_East,278481
L2024021,2024-07-02,180000,Commercial,B021,650,0.49,0.87,72,8.2,Defaulted,2025-01-15,28,165000,MANUFACTURING,Rural_West,206897
L2024022,2024-07-08,28000,Personal,B022,610,0.61,0.0,24,13.2,60-Days,,,25000,RESTAURANT,Metro_West,0
L2024023,2024-07-15,160000,Mortgage,B023,730,0.27,0.74,360,4.6,Current,,0,158500,TECH,Metro_North,216216
L2024024,2024-07-25,75000,Auto,B024,690,0.37,0.91,66,6.3,Current,,0,69000,FINANCE,Suburban_North,82418
L2024025,2024-08-05,95000,Commercial,B025,670,0.45,0.8,48,7.9,90-Days,,,86000,RETAIL,Metro_East,118750
