employee_id,review_date,overall_score,technical_skills,communication,leadership,goal_achievement,reviewer_notes
E001,2024-01-15,4.2,4.5,4.0,3.8,4.3,"Strong technical contributor, ready for more leadership opportunities"
E001,2023-07-15,4.0,4.3,3.8,3.5,4.2,"Consistently delivers high-quality work"
E002,2024-01-20,3.8,3.5,4.2,4.0,3.9,"Exceeded sales targets, good team collaboration"
E002,2023-07-20,3.6,3.2,4.0,3.8,3.8,"Met most objectives, room for improvement in product knowledge"
E003,2024-03-10,3.9,4.0,4.1,3.7,3.8,"Creative campaigns, strong digital marketing skills"
E003,2023-09-10,3.7,3.8,3.9,3.5,3.6,"Learning quickly, adapting well to company culture"
E004,2024-01-12,4.6,4.8,4.3,4.5,4.7,"Exceptional technical leadership, mentors junior developers effectively"
E004,2023-07-12,4.5,4.7,4.2,4.4,4.6,"Continues to drive architectural decisions"
E005,2024-02-08,3.4,3.2,3.6,2.8,3.5,"Solid performer but seems disengaged lately"
E005,2023-08-08,3.6,3.4,3.8,3.0,3.7,"Reliable worker, handles routine tasks well"
E006,2024-01-03,4.1,3.8,4.3,4.4,4.2,"Strong leadership, drives team performance"
E006,2023-07-03,4.0,3.7,4.2,4.3,4.1,"Excellent at building client relationships"
E007,2024-01-25,3.5,3.8,3.2,2.9,3.6,"Good technical skills but needs to improve communication"
E007,2023-07-25,3.3,3.6,3.0,2.8,3.4,"Shows potential but inconsistent delivery"
E008,2024-02-14,3.7,3.9,3.8,3.4,3.6,"Creative content creator, meets deadlines"
E008,2023-08-14,3.5,3.7,3.6,3.2,3.4,"Produces quality content, collaborates well"
E009,2024-01-18,4.3,4.6,4.0,4.1,4.4,"Critical infrastructure expert, highly reliable"
E009,2023-07-18,4.1,4.4,3.8,3.9,4.2,"Maintains system stability, proactive problem solver"
E010,2024-02-22,4.0,3.8,4.1,4.2,4.0,"Strong process improvement focus"
E010,2023-08-22,3.8,3.6,3.9,4.0,3.8,"Good analytical skills, drives efficiency"
E011,2024-01-30,3.2,3.0,3.4,3.1,3.3,"Struggling to meet targets, needs additional support"
E011,2023-07-30,3.4,3.2,3.6,3.3,3.5,"Shows effort but results are inconsistent"
E012,2024-01-15,4.4,4.7,4.2,4.6,4.3,"Excellent technical leader, drives innovation"
E012,2023-07-15,4.3,4.6,4.1,4.5,4.2,"Strong mentor, guides team effectively"
E013,2024-02-28,3.9,4.1,3.9,3.7,3.8,"Strong brand vision, executes campaigns well"
E013,2023-08-28,3.7,3.9,3.7,3.5,3.6,"Developing brand strategy skills"
E014,2024-02-15,3.6,3.8,3.5,3.4,3.6,"Detail-oriented analyst, reliable performer"
E015,2024-01-05,4.1,4.4,3.8,3.9,4.2,"Strong analytical skills, drives data insights"
E015,2023-07-05,3.9,4.2,3.6,3.7,4.0,"Good technical skills, building domain expertise"
E016,2024-02-08,3.7,3.5,3.8,3.7,3.8,"Consistent performer, builds good relationships"
E017,2024-02-12,3.4,3.6,3.3,3.2,3.4,"Eager to learn but needs more guidance"
E018,2024-01-20,3.8,4.0,3.6,3.7,3.9,"Good technical skills, integrating well with team"
E019,2024-01-14,3.9,3.7,4.2,3.8,3.9,"Strong people skills, handles conflicts well"
E020,2024-02-06,3.3,3.1,3.4,3.2,3.4,"Working hard but struggling with conversion rates"
E021,2024-01-12,3.6,3.8,3.5,3.4,3.6,"Thorough testing approach, finds critical bugs"
E022,2024-01-30,4.2,4.0,4.3,4.1,4.3,"Drives growth initiatives, excellent strategic thinking"
E023,2024-01-18,3.8,3.6,4.0,3.9,3.8,"Keeps office running smoothly, good team support"
E024,2024-02-05,3.5,3.7,3.3,3.4,3.6,"Good coding skills, needs to improve estimation"
E025,2024-01-25,4.0,3.8,4.2,3.9,4.1,"Excellent customer relationships, drives retention"
E026,2024-01-01,3.7,3.9,3.5,3.6,3.8,"Strong technical foundation, learning company systems"
E027,2024-01-14,3.6,3.8,3.5,3.4,3.6,"Good SEO knowledge, drives organic traffic"
E028,2024-01-30,3.8,4.0,3.7,3.6,3.8,"Strong financial analysis, accurate reporting"
E029,2024-01-25,4.0,4.2,3.8,3.9,4.1,"Excellent mobile development skills"
E030,2024-01-18,4.1,3.8,4.2,4.3,4.2,"Strong regional leadership, exceeds targets"
