region,population,avg_household_income,age_18_34_pct,age_35_54_pct,age_55_plus_pct,urban_pct,college_educated_pct,tech_adoption_score,fitness_interest_score,eco_conscious_score
Pacific Northwest,8450000,72500,28.5,35.2,36.3,78.4,45.8,8.7,8.2,9.1
California,39500000,78200,32.1,34.7,33.2,82.1,42.3,8.9,7.8,8.5
Southwest,12800000,65400,31.8,36.4,31.8,75.2,38.7,7.8,7.5,7.2
Northeast,56200000,81300,29.4,35.8,34.8,85.7,48.2,8.1,7.3,8.0
Southeast,45600000,58900,30.2,37.1,32.7,68.9,35.4,7.2,7.8,6.8
Great Lakes,28900000,62100,28.9,36.5,34.6,72.8,39.1,7.5,8.1,7.4
Texas,32400000,67800,33.5,35.9,30.6,73.6,37.2,7.9,8.3,7.1
Mountain West,15200000,69200,31.2,34.8,34.0,76.3,41.5,8.0,8.9,8.3
Plains,8700000,58400,27.6,35.9,36.5,65.2,36.8,6.9,7.9,7.0
Atlantic,18900000,79600,30.1,36.2,33.7,81.4,46.7,8.3,7.6,8.2
Central,12100000,61800,29.8,36.8,33.4,71.5,38.9,7.4,8.0,7.3
Pacific,21800000,75900,31.7,35.1,33.2,79.8,44.1,8.6,8.1,8.7
