dispute_id,transaction_id,merchant_id,dispute_date,dispute_type,amount,status,resolution_date,resolution_days,outcome,specialist_assigned,merchant_response_time_hours,evidence_quality_score
DSP001,TXN013,MCH8821,2024-11-14,Chargeback,456.78,Resolved,2024-11-28,14,Merchant Win,Sarah Johnson,24,8.5
DSP002,TXN023,MCH8821,2024-11-12,Fraud Claim,89.99,Resolved,2024-12-05,23,Customer Win,Mike Chen,72,4.2
DSP003,TXN032,MCH8821,2024-11-10,Service Dispute,159.99,In Progress,NULL,NULL,NULL,Lisa Rodriguez,18,7.8
DSP004,TXN045,MCH2847,2024-11-08,Chargeback,1890.00,Resolved,2024-11-25,17,Merchant Win,Sarah Johnson,12,9.1
DSP005,TXN067,MCH1203,2024-11-05,Unauthorized Transaction,299.99,Resolved,2024-11-28,23,Customer Win,David Park,96,3.5
DSP006,TXN089,MCH0892,2024-11-03,Quality Dispute,145.67,Resolved,2024-11-18,15,Split Decision,Mike Chen,36,6.7
DSP007,TXN012,MCH1203,2024-11-01,Chargeback,12.99,Resolved,2024-11-12,11,Merchant Win,Lisa Rodriguez,8,8.9
DSP008,TXN098,MCH3674,2024-10-29,Billing Error,2500.00,Resolved,2024-11-20,22,Customer Win,Sarah Johnson,48,5.8
DSP009,TXN134,MCH7834,2024-10-27,Service Dispute,78.45,In Progress,NULL,NULL,NULL,David Park,120,4.1
DSP010,TXN156,MCH1847,2024-10-25,Chargeback,234.56,Resolved,2024-11-08,14,Merchant Win,Mike Chen,16,8.7
DSP011,TXN178,MCH2109,2024-10-23,Fraud Claim,5600.00,Resolved,2024-11-18,26,Customer Win,Lisa Rodriguez,84,3.9
DSP012,TXN203,MCH4456,2024-10-21,Quality Dispute,890.25,Resolved,2024-11-02,12,Merchant Win,Sarah Johnson,20,9.3
DSP013,TXN245,MCH5023,2024-10-19,Chargeback,3400.00,In Progress,NULL,NULL,NULL,David Park,144,5.2
DSP014,TXN267,MCH8821,2024-10-17,Service Dispute,567.89,Resolved,2024-11-05,19,Split Decision,Mike Chen,60,6.4
DSP015,TXN289,MCH2847,2024-10-15,Unauthorized Transaction,12000.00,Resolved,2024-11-12,28,Customer Win,Lisa Rodriguez,168,2.8
DSP016,TXN312,MCH1203,2024-10-13,Chargeback,67.89,Resolved,2024-10-25,12,Merchant Win,Sarah Johnson,14,8.8
DSP017,TXN334,MCH0892,2024-10-11,Billing Error,456.78,Resolved,2024-10-28,17,Customer Win,David Park,72,5.1
DSP018,TXN356,MCH3674,2024-10-09,Quality Dispute,1890.50,In Progress,NULL,NULL,NULL,Mike Chen,96,6.9
DSP019,TXN378,MCH7834,2024-10-07,Chargeback,123.45,Resolved,2024-10-19,12,Merchant Win,Lisa Rodriguez,10,9.0
DSP020,TXN401,MCH1847,2024-10-05,Service Dispute,789.12,Resolved,2024-10-26,21,Split Decision,Sarah Johnson,48,7.2
DSP021,TXN423,MCH2109,2024-10-03,Fraud Claim,15000.00,Resolved,2024-11-01,29,Customer Win,David Park,192,3.2
DSP022,TXN445,MCH4456,2024-10-01,Chargeback,234.67,Resolved,2024-10-13,12,Merchant Win,Mike Chen,18,8.6
DSP023,TXN467,MCH5023,2024-09-29,Quality Dispute,5670.00,Resolved,2024-10-22,23,Customer Win,Lisa Rodriguez,120,4.5
DSP024,TXN489,MCH8821,2024-09-27,Service Dispute,345.89,Resolved,2024-10-15,18,Merchant Win,Sarah Johnson,28,8.1
DSP025,TXN512,MCH2847,2024-09-25,Chargeback,890.45,Resolved,2024-10-09,14,Merchant Win,David Park,22,8.9
