facility_id,shipment_id,date,origin_facility,destination_zip,volume_cubic_ft,weight_lbs,shipping_cost,transit_days,delivery_status,customer_id,carrier,route_id
FAC001,SHP240101001,2024-01-15,FAC001,10001,125.5,850,245.80,3,delivered,CUST001,CarrierA,RT001
FAC001,SHP240101002,2024-01-15,FAC001,10002,89.2,620,189.50,2,delivered,CUST002,CarrierB,RT002
FAC001,SHP240101003,2024-01-16,FAC001,10003,245.8,1650,425.30,4,delivered,CUST003,CarrierA,RT001
FAC002,SHP240101004,2024-01-16,FAC002,20001,156.3,1120,298.75,3,delivered,CUST004,CarrierC,RT003
FAC002,SHP240101005,2024-01-17,FAC002,20002,78.9,485,145.20,2,delivered,CUST005,CarrierB,RT004
FAC003,SHP240101006,2024-01-17,FAC003,30001,312.4,2180,485.60,5,delayed,CUST006,CarrierA,RT005
FAC003,SHP240101007,2024-01-18,FAC003,30002,145.7,980,275.40,3,delivered,CUST007,CarrierC,RT006
FAC004,SHP240101008,2024-01-18,FAC004,40001,67.8,425,125.80,2,delivered,CUST008,CarrierB,RT007
FAC004,SHP240101009,2024-01-19,FAC004,40002,198.5,1350,365.20,4,delivered,CUST009,CarrierA,RT008
FAC005,SHP240101010,2024-01-19,FAC005,50001,234.6,1580,412.30,4,delivered,CUST010,CarrierC,RT009
FAC005,SHP240101011,2024-01-20,FAC005,50002,89.3,620,168.90,2,delivered,CUST011,CarrierB,RT010
FAC006,SHP240101012,2024-01-20,FAC006,60001,167.9,1145,315.60,3,delivered,CUST012,CarrierA,RT011
FAC006,SHP240101013,2024-01-21,FAC006,60002,298.7,2050,498.40,5,delayed,CUST013,CarrierC,RT012
FAC007,SHP240101014,2024-01-21,FAC007,70001,123.4,845,234.70,3,delivered,CUST014,CarrierB,RT013
FAC007,SHP240101015,2024-01-22,FAC007,70002,45.6,315,95.20,1,delivered,CUST015,CarrierA,RT014
FAC008,SHP240101016,2024-01-22,FAC008,80001,189.2,1285,342.80,4,delivered,CUST016,CarrierC,RT015
FAC008,SHP240101017,2024-01-23,FAC008,80002,267.5,1820,465.90,4,delivered,CUST017,CarrierA,RT016
FAC009,SHP240101018,2024-01-23,FAC009,90001,134.8,925,258.40,3,delivered,CUST018,CarrierB,RT017
FAC009,SHP240101019,2024-01-24,FAC009,90002,78.2,535,148.60,2,delivered,CUST019,CarrierC,RT018
FAC010,SHP240101020,2024-01-24,FAC010,11001,345.9,2380,595.70,5,delivered,CUST020,CarrierA,RT019
FAC010,SHP240101021,2024-01-25,FAC010,11002,156.7,1080,289.30,3,delivered,CUST021,CarrierB,RT020
FAC011,SHP240101022,2024-01-25,FAC011,12001,89.4,615,172.80,2,delivered,CUST022,CarrierC,RT021
FAC011,SHP240101023,2024-01-26,FAC011,12002,223.6,1520,398.50,4,delivered,CUST023,CarrierA,RT022
FAC012,SHP240101024,2024-01-26,FAC012,13001,167.3,1150,312.40,3,delivered,CUST024,CarrierB,RT023
FAC012,SHP240101025,2024-01-27,FAC012,13002,298.1,2025,486.20,5,delayed,CUST025,CarrierC,RT024
FAC013,SHP240101026,2024-01-27,FAC013,14001,134.5,920,251.70,3,delivered,CUST026,CarrierA,RT025
FAC013,SHP240101027,2024-01-28,FAC013,14002,67.8,465,128.40,2,delivered,CUST027,CarrierB,RT026
FAC014,SHP240101028,2024-01-28,FAC014,15001,245.2,1675,432.80,4,delivered,CUST028,CarrierC,RT027
FAC014,SHP240101029,2024-01-29,FAC014,15002,189.6,1295,348.90,3,delivered,CUST029,CarrierA,RT028
FAC015,SHP240101030,2024-01-29,FAC015,16001,156.4,1070,286.50,3,delivered,CUST030,CarrierB,RT029
FAC015,SHP240101031,2024-01-30,FAC015,16002,234.8,1595,415.60,4,delivered,CUST031,CarrierC,RT030
FAC001,SHP240201032,2024-02-01,FAC001,10004,178.3,1220,325.40,3,delivered,CUST032,CarrierA,RT001
FAC002,SHP240201033,2024-02-01,FAC002,20003,98.7,675,185.30,2,delivered,CUST033,CarrierB,RT003
FAC003,SHP240201034,2024-02-02,FAC003,30003,267.9,1835,468.20,4,delivered,CUST034,CarrierC,RT005
FAC004,SHP240201035,2024-02-02,FAC004,40003,145.6,995,278.90,3,delivered,CUST035,CarrierA,RT007
FAC005,SHP240201036,2024-02-03,FAC005,50003,89.1,615,167.80,2,delivered,CUST036,CarrierB,RT009
FAC006,SHP240201037,2024-02-03,FAC006,60003,312.7,2145,512.60,5,delayed,CUST037,CarrierC,RT011
FAC007,SHP240201038,2024-02-04,FAC007,70003,123.8,850,238.70,3,delivered,CUST038,CarrierA,RT013
FAC008,SHP240201039,2024-02-04,FAC008,80003,189.4,1295,348.60,4,delivered,CUST039,CarrierB,RT015
FAC009,SHP240201040,2024-02-05,FAC009,90003,156.2,1075,289.40,3,delivered,CUST040,CarrierC,RT017
FAC010,SHP240201041,2024-02-05,FAC010,11003,234.5,1605,418.30,4,delivered,CUST041,CarrierA,RT019
FAC011,SHP240201042,2024-02-06,FAC011,12003,78.9,535,148.20,2,delivered,CUST042,CarrierB,RT021
FAC012,SHP240201043,2024-02-06,FAC012,13003,298.6,2065,495.80,5,delivered,CUST043,CarrierC,RT023
FAC013,SHP240201044,2024-02-07,FAC013,14003,167.4,1155,315.60,3,delivered,CUST044,CarrierA,RT025
FAC014,SHP240201045,2024-02-07,FAC014,15003,134.7,925,256.40,3,delivered,CUST045,CarrierB,RT027
FAC015,SHP240201046,2024-02-08,FAC015,16003,245.3,1685,438.90,4,delivered,CUST046,CarrierC,RT029
