department,quarter,year,productivity_score,quality_score,revenue_per_employee,team_size,projects_completed,client_satisfaction,innovation_index
Engineering,Q4,2024,85,92,125000,120,45,4.2,78
Engineering,Q1,2025,82,89,118000,125,42,4.1,75
Engineering,Q2,2025,79,87,115000,128,38,3.9,72
Engineering,Q3,2025,76,84,110000,130,35,3.8,69
Engineering,Q4,2025,78,86,112000,132,37,3.9,71
Engineering,Q1,2026,81,88,116000,135,40,4.0,74
Sales,Q4,2024,88,85,180000,65,28,4.4,65
Sales,Q1,2025,85,82,172000,68,26,4.2,62
Sales,Q2,2025,82,79,165000,70,24,4.0,59
Sales,Q3,2025,79,76,158000,72,22,3.8,56
Sales,Q4,2025,81,78,162000,74,23,3.9,58
Sales,Q1,2026,84,81,168000,76,25,4.1,61
Marketing,Q4,2024,82,88,95000,45,22,4.1,82
Marketing,Q1,2025,79,85,92000,47,20,3.9,79
Marketing,Q2,2025,76,82,89000,48,18,3.7,76
Marketing,Q3,2025,73,79,85000,50,16,3.5,73
Marketing,Q4,2025,75,81,87000,52,17,3.6,75
Marketing,Q1,2026,78,84,90000,54,19,3.8,78
Product,Q4,2024,87,91,135000,85,18,4.3,85
Product,Q1,2025,84,88,128000,88,16,4.1,82
Product,Q2,2025,81,85,122000,90,14,3.9,79
Product,Q3,2025,78,82,118000,92,12,3.7,76
Product,Q4,2025,80,84,120000,94,13,3.8,78
Product,Q1,2026,83,87,125000,96,15,4.0,81
HR,Q4,2024,75,82,75000,28,12,4.0,55
HR,Q1,2025,72,79,72000,30,11,3.8,52
HR,Q2,2025,69,76,69000,32,10,3.6,49
HR,Q3,2025,66,73,66000,34,9,3.4,46
HR,Q4,2025,68,75,68000,36,10,3.5,48
HR,Q1,2026,71,78,71000,38,11,3.7,51
Finance,Q4,2024,83,89,88000,35,15,4.2,58
Finance,Q1,2025,80,86,85000,37,14,4.0,55
Finance,Q2,2025,77,83,82000,38,13,3.8,52
Finance,Q3,2025,74,80,79000,40,12,3.6,49
Finance,Q4,2025,76,82,81000,42,13,3.7,51
Finance,Q1,2026,79,85,84000,44,14,3.9,54
Operations,Q4,2024,79,86,82000,72,25,4.1,48
Operations,Q1,2025,76,83,79000,75,23,3.9,45
Operations,Q2,2025,73,80,76000,77,21,3.7,42
Operations,Q3,2025,70,77,73000,79,19,3.5,39
Operations,Q4,2025,72,79,75000,81,20,3.6,41
Operations,Q1,2026,75,82,78000,83,22,3.8,44
