engagement_id,client_id,client_name,client_size,industry,engagement_type,service_combination,complexity_score,start_date,end_date,budgeted_hours,actual_hours,hour_variance,budgeted_amount,actual_billing,profit_margin,partner_hours,senior_hours,staff_hours,partner_rate,senior_rate,staff_rate,engagement_year,season
ENG001,CLI001,TechFlow Solutions,Large,Technology,Individual Tax + Business,Tax Prep + Consulting + Audit Support,8.5,2024-02-15,2024-04-10,120,145,25,18000,21750,0.18,25,60,60,350,200,120,2024,2024
ENG002,CLI002,Green Valley Farms,Medium,Agriculture,Business Only,Tax Prep + Payroll,6.2,2024-01-20,2024-03-15,85,78,-7,12750,11700,0.22,18,35,25,350,200,120,2024,2024
ENG003,CLI003,Metro Construction LLC,Large,Construction,Business + Multi-State,Tax Prep + Consulting + State Filings,9.1,2024-02-01,2024-04-15,160,195,35,24000,29250,0.08,35,80,80,350,200,120,2024,2024
ENG004,CLI004,Sarah Johnson,Small,Individual,Individual Tax,Tax Prep Only,3.2,2024-02-10,2024-02-28,12,10,-2,1800,1500,0.31,2,4,4,350,200,120,2024,2024
ENG005,CLI005,Riverside Medical Group,Large,Healthcare,Business + Estate,Tax Prep + Estate Planning + Consulting,7.8,2024-01-15,2024-04-05,140,158,18,21000,23700,0.15,30,70,58,350,200,120,2024,2024
ENG006,CLI006,Downtown Retail Partners,Medium,Retail,Business Only,Tax Prep + Sales Tax,5.9,2024-02-05,2024-03-20,70,82,12,10500,12300,0.19,15,35,32,350,200,120,2024,2024
ENG007,CLI007,Mountain View Consulting,Small,Professional Services,Individual Tax + Business,Tax Prep + Consulting,4.5,2024-02-20,2024-03-30,45,52,7,6750,7800,0.16,10,22,20,350,200,120,2024,2024
ENG008,CLI008,Pacific Manufacturing,Large,Manufacturing,Business + Multi-State,Tax Prep + R&D Credits + Consulting,9.8,2024-01-10,2024-04-20,200,235,35,30000,35250,0.05,45,95,95,350,200,120,2024,2024
ENG009,CLI009,Local Coffee Roasters,Small,Food Service,Business Only,Tax Prep + Inventory,4.1,2024-02-25,2024-03-10,35,31,-4,5250,4650,0.28,8,15,8,350,200,120,2024,2024
ENG010,CLI010,Regional Bank Corp,Large,Financial Services,Business + Regulatory,Tax Prep + Regulatory + Consulting,9.5,2024-01-05,2024-04-25,180,215,35,27000,32250,0.12,40,85,90,350,200,120,2024,2024
