month,new_mrr,expansion_mrr,contraction_mrr,churned_mrr,net_new_mrr,total_mrr,enterprise_mrr,mid_market_mrr,smb_mrr
2023-10-01,450000,125000,35000,85000,455000,4200000,2520000,1260000,420000
2023-11-01,520000,140000,42000,95000,523000,4723000,2835000,1417000,471000
2023-12-01,580000,155000,38000,78000,619000,5342000,3205000,1603000,534000
2024-01-01,625000,168000,45000,92000,656000,5998000,3599000,1799000,600000
2024-02-01,695000,185000,52000,105000,723000,6721000,4033000,2016000,672000
2024-03-01,720000,195000,48000,89000,778000,7499000,4499000,2250000,750000
2024-04-01,785000,210000,55000,112000,828000,8327000,4996000,2498000,833000
2024-05-01,825000,225000,62000,98000,890000,9217000,5530000,2765000,922000
2024-06-01,890000,240000,58000,125000,947000,10164000,6098000,3049000,1017000
2024-07-01,945000,255000,68000,135000,997000,11161000,6697000,3348000,1116000
2024-08-01,1025000,275000,72000,145000,1083000,12244000,7346000,3673000,1225000
2024-09-01,1085000,290000,78000,152000,1145000,13389000,8033000,4017000,1339000
2024-10-01,1145000,308000,85000,165000,1203000,14592000,8755000,4378000,1459000
2024-11-01,1225000,325000,92000,178000,1280000,15872000,9523000,4762000,1587000
2024-12-01,1320000,345000,88000,185000,1392000,17264000,10358000,5179000,1727000
2025-01-01,1385000,365000,95000,195000,1460000,18724000,11234000,5615000,1875000
2025-02-01,1465000,382000,102000,208000,1537000,20261000,12157000,6078000,2026000
2025-03-01,1545000,398000,108000,215000,1620000,21881000,13129000,6564000,2188000
2025-04-01,1635000,418000,115000,225000,1713000,23594000,14156000,7081000,2357000
2025-05-01,1725000,438000,122000,235000,1806000,25400000,15240000,7620000,2540000
2025-06-01,1820000,459000,128000,248000,1903000,27303000,16382000,8191000,2730000
2025-07-01,1925000,482000,135000,262000,2010000,29313000,17588000,8794000,2931000
2025-08-01,2035000,505000,142000,275000,2123000,31436000,18862000,9431000,3144000
2025-09-01,2155000,528000,148000,288000,2247000,33683000,20210000,10101000,3367000
2025-10-01,2285000,552000,155000,302000,2380000,36063000,21638000,10819000,3606000
2025-11-01,2425000,578000,162000,318000,2523000,38586000,23152000,11576000,3859000
2025-12-01,2575000,605000,168000,335000,2677000,41263000,24758000,12379000,4126000
2026-01-01,2735000,632000,175000,352000,2840000,44103000,26462000,13231000,4410000
2026-02-01,2905000,661000,182000,371000,3013000,47116000,28270000,14135000,4712000
2026-03-01,3085000,690000,189000,390000,3196000,50312000,30187000,15094000,5031000
2026-04-01,3275000,721000,196000,410000,3390000,53702000,32221000,16111000,5370000
2026-05-01,3475000,753000,203000,432000,3593000,57295000,34377000,17189000,5730000
2026-06-01,3685000,786000,210000,455000,3806000,61101000,36661000,17330000,6110000
2026-07-01,3905000,821000,218000,479000,4029000,65130000,39078000,19539000,6513000
2026-08-01,4135000,857000,225000,505000,4262000,69392000,41635000,20818000,6939000
2026-09-01,4375000,894000,233000,532000,4504000,73896000,44338000,22169000,7390000
