team_id,projects_completed_q4,on_time_delivery_pct,budget_adherence_pct,scope_creep_incidents,avg_project_complexity,stakeholder_satisfaction,post_launch_issues,innovation_score,collaboration_incidents,knowledge_sharing_score
T001,12,92,98,2,7.2,4.4,3,8.1,1,8.3
T002,8,71,85,6,6.1,3.8,8,5.9,4,6.2
T003,15,97,99,1,8.8,4.7,1,9.3,0,9.1
T004,10,83,94,3,7.5,4.2,4,7.6,2,7.8
T005,13,89,96,2,7.8,4.5,2,8.4,1,8.2
T006,6,68,82,8,5.9,3.6,12,5.2,6,5.8
T007,11,86,93,3,7.1,4.1,5,7.3,2,7.5
T008,9,88,95,2,6.8,4.3,3,7.1,1,7.7
T009,8,81,91,4,7.3,4.0,5,6.9,3,7.2
T010,14,95,97,1,8.2,4.6,2,8.7,0,8.9
T011,7,74,87,5,6.3,3.7,7,6.1,3,6.4
T012,16,98,99,0,8.5,4.8,1,8.9,0,9.0
T013,10,84,92,3,6.9,4.1,4,7.2,2,7.4
T014,12,91,97,2,7.6,4.4,3,8.0,1,8.1
T015,9,78,89,4,6.5,3.9,6,6.7,3,6.9
