project_id,client_name,industry,project_type,start_date,end_date,original_budget,final_budget,original_timeline_days,actual_timeline_days,team_size,senior_ratio,project_manager_experience,client_tier,initial_scope_clarity,change_orders_count,total_change_value,final_margin_pct,original_margin_pct,scope_creep_occurred
PRJ001,TechCorp Solutions,Technology,Digital Transformation,2024-01-15,2024-06-30,450000,520000,167,198,8,0.375,5,Enterprise,High,3,70000,18.2,28.5,1
PRJ002,MedDevice Inc,Healthcare,System Integration,2024-02-01,2024-05-15,280000,285000,104,103,5,0.6,8,Mid-Market,High,1,5000,31.2,32.0,0
PRJ003,RetailChain LLC,Retail,Data Analytics,2024-01-20,2024-08-10,650000,780000,203,233,12,0.25,3,Enterprise,Medium,5,130000,15.8,35.2,1
PRJ004,FinanceFirst Bank,Financial Services,Compliance System,2024-03-01,2024-07-20,380000,420000,141,162,7,0.57,6,Enterprise,Low,4,40000,22.1,28.9,1
PRJ005,StartupX,Technology,MVP Development,2024-02-15,2024-04-30,125000,115000,74,74,4,0.5,4,Startup,High,0,0,35.6,32.0,0
PRJ006,ManufacturingCorp,Manufacturing,ERP Implementation,2024-01-10,2024-09-15,850000,1020000,248,279,15,0.33,7,Enterprise,Medium,6,170000,12.5,32.1,1
PRJ007,NonProfitOrg,Non-Profit,Process Optimization,2024-03-10,2024-06-05,95000,98000,87,92,3,0.67,5,Small,Medium,2,3000,28.4,30.0,0
PRJ008,EnergyGroup,Energy,Infrastructure Upgrade,2024-02-20,2024-10-30,720000,695000,253,253,10,0.4,9,Enterprise,High,1,-25000,38.2,35.8,0
PRJ009,InsurancePlus,Insurance,Digital Platform,2024-04-01,2024-11-20,560000,685000,233,264,9,0.22,2,Enterprise,Low,7,125000,16.7,33.9,1
PRJ010,LocalGov City,Government,Citizen Portal,2024-01-25,2024-07-10,320000,375000,167,198,6,0.5,6,Government,Medium,4,55000,19.3,28.1,1
PRJ011,PharmaCorp,Healthcare,Regulatory System,2024-03-15,2024-08-25,480000,465000,163,163,8,0.625,7,Enterprise,High,2,-15000,33.8,31.2,0
PRJ012,AgriTech Solutions,Agriculture,IoT Platform,2024-04-10,2024-09-30,290000,340000,173,204,5,0.4,4,Mid-Market,Low,5,50000,20.1,31.0,1
PRJ013,TransportCo,Transportation,Fleet Management,2024-02-05,2024-06-20,410000,395000,135,136,7,0.57,8,Enterprise,High,1,-15000,32.7,30.8,0
PRJ014,FashionBrand,Retail,E-commerce Platform,2024-05-01,2024-12-15,380000,485000,228,259,6,0.33,3,Mid-Market,Medium,6,105000,17.5,32.6,1
PRJ015,ConsultingFirm,Professional Services,Knowledge Management,2024-03-20,2024-07-30,220000,235000,132,143,4,0.75,6,Mid-Market,Medium,3,15000,26.8,30.0,0
PRJ016,HospitalNetwork,Healthcare,Patient System,2024-01-30,2024-08-15,620000,735000,198,229,11,0.36,5,Enterprise,Low,8,115000,15.2,34.2,1
PRJ017,TechStartup Beta,Technology,Mobile App,2024-04-15,2024-07-10,150000,165000,86,97,4,0.5,4,Startup,High,2,15000,28.7,32.0,0
PRJ018,UtilityCorp,Utilities,Smart Grid,2024-02-10,2024-11-05,780000,765000,268,268,12,0.42,9,Enterprise,High,2,-15000,36.1,34.6,0
PRJ019,EducationTech,Education,Learning Platform,2024-05-10,2024-10-25,340000,415000,168,199,5,0.4,3,Mid-Market,Medium,5,75000,18.9,32.4,1
