maintenance_id,tower_id,scheduled_date,maintenance_type,duration_hours,priority,technician_assigned,estimated_cost,completion_status
M001,T001,2024-11-15,routine_inspection,4,medium,TECH_001,2500,scheduled
M002,T002,2024-11-12,equipment_replacement,12,high,TECH_003,15000,scheduled
M003,T003,2024-11-20,routine_inspection,3,low,TECH_002,1800,scheduled
M004,T004,2024-11-08,emergency_repair,16,critical,TECH_004,28000,completed
M005,T005,2024-11-18,software_update,6,medium,TECH_001,3200,scheduled
M006,T006,2024-11-14,equipment_calibration,8,medium,TECH_005,4500,scheduled
M007,T007,2024-11-22,routine_inspection,4,low,TECH_002,2100,scheduled
M008,T008,2024-11-10,equipment_replacement,14,high,TECH_003,22000,in_progress
M009,T009,2024-11-25,routine_inspection,4,low,TECH_001,2200,scheduled
M010,T010,2024-11-06,emergency_repair,20,critical,TECH_004,35000,completed
M011,T011,2024-11-16,software_update,5,medium,TECH_005,2800,scheduled
M012,T012,2024-11-13,equipment_calibration,9,medium,TECH_003,5200,scheduled
M013,T001,2024-12-15,routine_inspection,4,medium,TECH_002,2500,scheduled
M014,T002,2024-12-10,software_update,6,medium,TECH_001,3500,scheduled
M015,T004,2024-12-05,equipment_replacement,18,critical,TECH_004,32000,scheduled
M016,T006,2024-12-12,routine_inspection,5,medium,TECH_005,2800,scheduled
M017,T008,2024-12-08,equipment_calibration,10,high,TECH_003,6500,scheduled
M018,T010,2024-12-03,equipment_replacement,22,critical,TECH_004,40000,scheduled
